subject,condition,values
96,B,330.6
168,A,341.29
99,B,347.65
216,B,329.01
171,A,335.33
196,A,333.2
199,B,344.64
75,B,336.5
62,B,337.89
159,B,336.18
100,A,336.85
111,B,339.52
50,A,319.58
106,A,330.61
81,B,335.37
108,B,328.69
3,B,344.8
198,A,353.99
85,B,334.66
145,B,346.24
95,B,318.43
116,B,326.44
31,B,322.13
11,B,332.02
65,A,352.29
115,B,315.82
68,A,320.91
135,A,328.3
105,B,322.87
197,A,322.79
80,B,329.17
33,B,324.58
151,A,330.91
121,B,332.12
113,B,341.95
213,B,331.33
169,B,323.24
1,A,350.36
141,B,336.13
4,B,324.07
15,A,312.91
162,B,321.39
44,B,339.49
18,B,334.63
87,B,325.38
134,B,348.43
173,A,340.9
58,B,331.21
84,B,350.93
215,B,341.06
90,A,327.58
194,A,320.19
14,B,340.32
74,B,328.43
88,A,354.43
132,A,350.62
22,A,326.42
77,B,328.47
32,A,351.61
71,A,343.71
179,B,358.59
163,A,351.02
146,B,308.93
67,A,350.25
209,B,341.57
164,A,324.34
23,A,332.4
124,A,342.47
61,B,350.92
202,A,349.57
161,A,343.4
7,A,344.62
24,A,329.82
178,A,349.6
101,B,326.37
59,B,368.13
143,B,358.6
98,B,337.2
172,B,334.5
63,A,347.6
37,B,330.01
174,B,329.68
140,B,336.53
55,B,321.59
183,B,327.62
175,B,348.81
64,B,339.63
92,B,314.63
20,B,329.64
42,B,307.56
123,B,333.54
16,B,344.11
118,B,361.07
207,B,356.96
48,A,320.98
66,A,332.11
180,B,350.9
127,A,328.44
46,A,324.19
147,B,328.74
155,A,341.15
60,A,325.05
93,B,340.4
193,B,337.92
139,A,327.73
138,B,327.08
208,B,332.5
56,A,352.48
109,A,328.21
34,A,337.77
137,B,339.37
120,A,349.28
182,B,323.4
82,B,358.73
9,A,320.84
149,A,355.9
190,B,351.43
17,B,335.66
6,A,347.24
157,A,343.39
187,B,340.47
218,B,314.82
195,B,308.17
181,B,335.24
154,A,336.43
53,B,343.87
78,B,332.61
36,A,336.15
177,B,335.84
156,B,333.08
170,B,322.2
41,A,328.89
128,B,330.68
130,B,332.35
19,B,317.34
203,A,336.86
89,B,332.57
38,B,333.31
200,B,332.46
13,B,335.43
206,B,341.75
167,A,339.62
126,B,321.25
165,A,347.22
205,A,335.78
191,B,350.12
28,A,305.01
70,B,342.88
112,B,354.45
2,B,316.98
152,A,334.88
114,B,313.22
51,B,320.67
122,B,332.63
144,A,330.99
10,A,335.52
125,B,307.22
211,B,321.67
210,A,300.61
212,B,362.62
76,B,336.65
102,B,353.03
107,A,345.46
49,B,349.33
52,A,306.84
72,B,334.86
188,B,342.95
133,B,354.69
21,B,351.76
30,B,338.8
119,A,337.01
54,A,336.41
186,B,332.31
8,B,326.31
5,B,326.66
27,B,333.38
185,A,344.16
12,A,341.37
129,A,323.7
35,B,339.7
104,A,335.9
158,B,327.94
201,B,319.97
136,A,301.86
117,A,352.3
91,A,337.4
153,B,344.38
189,A,330.3
45,A,338.93
103,B,343.16
148,A,341
26,B,335.41
214,A,341.44
97,B,338.48
150,B,333.24
73,B,352.3
110,A,328.24
94,A,339.5
39,B,342.55
176,A,348.47
57,A,348.3
79,B,340.24
29,B,338.6
69,A,340.44
184,B,317.01
217,B,333.71
142,A,349.8
192,A,343.25
47,A,353.75
204,A,342.91
40,B,310.56
43,A,335.85
160,B,332.84
86,B,359.44
25,A,345.68
131,A,332.87
83,B,350.48
166,B,351.38
