Subject,A,B
1,3.49,5.33
2,3.52,5.19
3,5.14,3.84
4,3.79,4.36
5,4.32,4.28
6,5.44,3.56
7,4.5,3.84
8,3.08,5.62
9,5.4,3.52
10,5.59,3.31
11,6.04,3.04
12,3.41,4.75
13,4.57,4.3
14,5.28,3.92
15,3.23,5.88
16,4.97,4.91
17,5.76,3.24
18,5.14,3.17
19,5.25,3.55
20,4.92,3.93
21,4.12,4.94
22,4.85,4.82
23,5.02,4.41
24,3.61,4.66
25,3.39,5.23
26,2.98,6.01
27,4.25,4.07
28,4.13,3.81
29,2.77,6.47
30,4.35,4.24
31,4.75,3.99
32,5.15,3.81
33,3.6,5.3
34,3.71,4.54
35,2.87,4.93
36,4.19,4.18
37,4.99,3.57
38,5.81,3.08
39,5.26,3.5
40,5.02,4.77
41,5.6,2.98
42,2.42,5.31
43,4.25,5.05
44,5.24,4
45,3.19,5.26
46,4.81,3.63
47,4.02,4.86
48,5,4.11
49,3.09,6.18
50,4.4,4.24
51,4.42,5.11
52,4.25,4.83
53,7.73,1.2
54,5.98,3.14
55,3.45,5.76
56,2.84,6.1
57,4.71,3.52
58,4.16,5.06
59,3.87,4.5
60,4.33,4.59
61,4.11,4.64
62,4.94,3.76
63,4.85,3.64
64,5.86,3.4
65,3.45,5.17
66,2.17,7.64
67,4.72,4.22
68,5.12,3.53
69,3.94,4.62
70,2.85,6.4
71,3.86,5.09
72,5.04,3.95
73,4.43,5.17
74,3.99,4.75
75,4.29,4.44
76,5.17,3.36
77,4.16,4.68
78,5.3,3.69
79,3.5,5.5
80,4.24,4.54
81,3.64,4.99
82,3.73,5.48
83,4.33,3.97
84,4.15,3.85
85,2.67,6.86
86,3.35,4.38
87,4.74,3.44
88,5.7,2.96
89,5.14,4.54
90,6.77,2.82
91,6.63,2.71
92,5.47,2.88
93,4.61,4.67
94,6.48,2.92
95,4.39,4.75
96,3.93,4.59
97,3.88,4.62
98,2.75,5.54
99,4.41,5.17
100,3.89,3.98
101,6.44,3.5
102,4.36,5.09
103,4.95,3.6
104,3.85,4.98
105,5.2,3.49
106,4.2,4.73
107,4.56,3.65
108,5.23,3.14
109,3.96,5.35
110,4.99,3.51
111,2.02,6.53
112,5.68,4.08
113,4.26,5.58
114,4.75,3.71
115,4.3,5.08
116,4.75,3.46
117,4.01,5.25
118,7.85,1.71
119,3.72,3.78
120,4.43,4.41
121,3.33,4.97
122,4.52,4.17
123,3.94,4.74
124,5.12,3.47
125,5.41,3.44
126,6.47,2.43
127,5.34,3.19
128,4.44,4.65
129,5.85,3.16
130,4.79,4.06
131,5.31,3.66
132,5.27,3.05
133,2.27,6.24
134,4.26,4.58
135,4.55,4.4
136,2.07,6.26
137,2.19,6.44
138,3.89,5.65
139,5.21,3.67
140,4.94,3.09
141,4.15,4.62
142,3.57,5.39
143,4.18,5.06
144,5.71,3.16
145,4.15,4.34
146,4.41,4.03
147,4.62,4.22
148,3.34,5.78
149,5.22,3.67
150,4.21,4.39
151,2.78,5.17
152,4.6,4.94
153,5.42,3.6
154,2.84,5.58
155,5.26,4.45
156,2.84,6.15
157,4.37,4.92
158,4.53,4.53
159,4.24,4.63
160,2.93,5.45
161,3.94,4.92
162,4.08,4.51
163,4.56,4.81
164,3.77,4.57
165,7.04,2.13
166,3.67,5.65
167,5.78,2.77
168,4.51,4.87
