Subject,A,B
1,41.59,38.02
2,39.78,38.31
3,42.62,37.37
4,40.96,37.29
5,40.92,37.31
6,40.98,37.4
7,41.76,37
8,40.29,40.09
9,43.25,36.28
10,41.06,39.33
11,39.66,38.47
12,40.84,37.86
13,39.81,38.76
14,42.99,36.94
15,39.93,39.42
16,42.37,36.25
17,42.02,38.14
18,41.01,36.07
19,41.55,37.64
20,41.64,37.25
21,40.52,39.85
22,42.43,36.79
23,41.09,37.06
24,41.38,37.16
25,39.68,39.86
26,40.91,37.27
27,40.37,38.15
28,43.2,36.47
29,42.12,37.42
30,40.4,38.3
31,39.93,38.38
32,40.8,39.38
33,42.02,37.66
34,41.31,36.5
35,40.91,37.82
36,41.42,38.06
37,43.2,38.12
38,40.99,38.65
39,41.15,39.33
40,39.51,39.48
41,41.59,38.27
42,40.81,39.49
43,43.55,36.61
44,41.23,39.39
45,40.59,39.46
46,40.72,37.42
47,41.25,36.74
48,40.66,37.36
49,41.08,39.17
50,40.3,40.1
51,39.24,39.43
52,41.1,38.87
53,39.65,39.86
54,41.94,37.7
55,40.33,38.73
56,39.71,39.16
57,43.38,38.1
58,40.95,38.55
59,40.6,39.5
60,39,39.89
61,41.88,37.51
62,42.52,36.51
63,41.28,38.3
64,41.42,37.83
65,41.74,37.07
66,40.71,39.03
67,42.81,37.33
68,41.39,37.25
69,42.51,36.86
70,41.88,37.06
71,42.24,37.62
72,42,37.6
73,41.63,37.07
74,41.47,38.41
75,42,38.93
76,41.09,37.04
77,41.2,39.81
78,41.82,37.22
79,41.83,37.63
80,40.87,36.08
81,41.78,38.29
82,41.37,37.96
83,42.08,37.43
84,41.19,37.08
85,42.36,35.97
86,43.52,35.94
87,41.29,38.18
88,42.89,37.31
89,39.91,40.31
90,41.43,38.41
91,40.72,36.83
92,42.83,35.99
93,42.59,37.36
94,40.85,37.98
95,42.69,36.16
96,39.29,39.42
97,42.92,37.3
98,41.66,38.49
99,42.3,35.24
100,40.61,39.84
101,41.6,37.48
102,41.33,38.62
103,43.86,36.52
104,40.92,38.65
105,41.69,38.24
106,43.42,37.02
107,41.22,38.15
108,40.43,37.82
109,39.91,39.09
110,42.61,37.12
111,42.29,36.75
112,40.34,37.26
113,40.79,39.89
114,42.53,35.3
115,41.9,39.19
116,44.2,36.14
117,41.94,37.69
118,42.46,37.7
119,40.9,38.88
120,41.47,38.64
121,41.3,37.66
122,40.64,38.83
123,41.33,38.75
124,41.68,37.29
125,41,38.12
126,41.23,37.9
127,41.7,38.21
128,40.86,38.14
129,38.91,40.38
130,39.98,38.62
131,42.4,37.17
132,41.04,38.91
133,40.6,37.58
134,42.66,36.95
135,42.23,36.32
136,41.61,38.24
137,41.47,37.27
138,41.27,38.04
139,41.95,38.55
140,40.83,39.68
141,43.52,35.68
142,42.5,36.92
143,40.53,39.22
144,42.87,37.23
145,41.11,37.82
146,41.87,37.55
147,41.77,38.75
148,40.01,39.9
149,40.76,39.9
150,42.38,37.17
151,41.17,39.68
152,41.43,38.2
153,41.87,37.37
154,42.75,36.71
155,42.22,37.66
