Subject,A,B
1,32.66,32.01
2,31.68,31.94
3,31.92,31.27
4,32.29,33.39
5,34.01,33.65
6,31.01,31
7,33.59,32.09
8,33.18,34.22
9,31.3,31.31
10,31.2,32.43
11,31.91,31.77
12,31.07,29.43
13,31.5,32.14
14,33.22,32.12
15,32.28,31.55
16,33.94,32.82
17,31.04,32.68
18,31.26,31.24
19,31.95,32.45
20,32.12,32.01
21,30.96,31.3
22,32.92,32.39
23,32.32,33.48
24,34.28,32.99
25,30.92,31.38
26,29.89,29.75
27,32.24,32.61
28,32.91,32.11
29,32.51,31.82
30,30.83,32.52
31,29.12,30.3
32,31.46,31.39
33,32.06,31.42
34,31.63,31.59
35,32.36,32.92
36,32.88,33.18
37,31.37,31.24
38,32.74,32.3
39,33.26,33.14
40,32.37,32.18
41,32.26,31.78
42,31.78,31.8
43,31.82,31.57
44,32.43,32.32
45,31.16,31.25
46,33.82,33.01
47,33.07,32.78
48,31.61,32.27
49,33.31,31.75
50,32.92,31.88
51,31.99,31.7
52,31.8,31.62
53,32.6,32.89
54,31.86,31.17
55,32.05,32.34
56,33.4,34.17
57,31.42,33.08
58,32.47,31.69
59,34.09,31.83
60,32.09,32.42
61,32.56,31.95
62,31.79,32.63
63,32.53,31.94
64,33.1,32.52
65,30.9,31.35
66,33.34,33.09
67,31.57,31.7
68,32.52,33.3
69,31.12,30.23
70,33.36,32.91
71,33.61,34.36
72,32.74,33.57
73,33.05,32.53
74,32.26,32.3
75,31.53,32.28
76,32.63,31.88
77,33.52,31.79
78,32.59,32.56
79,32.02,33.66
80,31.31,30.93
81,30.98,31.73
82,32.62,32.21
83,31.99,34.15
84,31.44,30.82
85,33.93,32.22
86,33.56,33.05
87,30.32,31.62
88,31.39,32.09
89,32.72,31.7
90,33.85,33.05
91,30.29,31.02
92,32.33,32.68
93,31.77,31.84
94,32.52,31.51
95,32.79,33.87
96,32.05,31.77
97,31.14,30.92
98,33.12,33.32
99,31.72,31.8
100,33.08,33.03
101,33.35,31.8
102,31,31.25
103,34.03,33.72
104,31.41,31.22
105,33.42,33.46
106,31.46,31.05
107,31.95,31.99
108,33.32,32.61
109,32.4,31.98
110,31.48,30.92
111,32.66,33.42
112,31.61,31.15
113,31.77,30.59
114,31.81,31.19
115,32.49,33.61
116,31.93,31.01
117,31.3,32.9
118,32.81,32.13
119,30.95,32.18
120,31.58,30.51
121,32.68,31.61
122,32.14,32.24
123,32.31,32.12
124,32.05,32.56
125,32.2,32.33
126,33.12,33.37
127,30.45,30.67
128,31.75,31.54
129,30.18,30.48
130,30.87,30.76
131,31.59,31.61
132,30.75,31.37
133,32.98,32.39
134,31.96,32.14
135,32.35,32.66
136,33.75,33.51
137,32.1,32.56
138,33.31,32.08
139,30.21,30.95
140,33.42,32.6
141,31.61,31.89
142,30.63,30.02
143,33.11,33.26
144,30.91,32.08
145,31.53,32.8
146,32.68,32.2
147,31,30.82
148,33.87,33.61
149,30.96,30.16
150,30.88,31.74
151,31.67,31.72
152,32.78,34.05
153,30.77,31.3
154,33.39,33.6
155,30.96,30.91
156,30.74,31.48
157,31.84,31.3
158,31.98,31.4
159,34.7,32.86
160,30.99,32.27
161,29.83,31.06
162,32.48,32.16
163,32.38,32.17
164,31.41,30.9
165,32.99,34.48
166,31.11,33.16
167,31.12,32.05
168,30.68,30.09
169,31.9,33.48
170,31.78,32.18
171,32.49,32.9
172,32.71,33.32
173,31.03,30.86
174,31.31,31.71
175,33.86,34.58
176,30.57,30.63
177,31.08,31.15
178,31.69,30.96
179,31.56,32.47
180,31.02,31.15
181,33.7,32.28
182,31.14,30.99
183,32.62,33.85
184,32.77,31.7
185,32.04,31.88
186,30.26,31.17
187,32.03,32.23
188,32.64,32.2
189,30,30.56
190,32.33,32.57
191,32.07,32.44
192,31.31,32.76
193,32.44,32.87
194,30.1,30.92
195,32.28,31.26
196,31.64,32.24
