subject,condition,values
22,A,119.97
90,B,229.38
130,B,125.51
13,A,104.06
118,A,105.35
58,B,350.48
70,B,171.49
2,B,394.86
1,B,199.95
8,B,453.17
95,B,474.18
116,B,258.2
81,A,146.73
52,A,162.43
146,A,144.98
143,B,229.23
149,B,-190.76
33,A,178.61
7,A,101.02
82,B,-86.45
144,A,141.39
28,B,211.07
54,B,507.88
91,B,229.69
117,A,162.57
9,B,559.88
153,A,189.88
138,A,89.62
12,A,142.49
103,A,132.88
21,B,195.05
142,A,130.33
136,A,83.78
114,A,133.13
88,B,416.44
152,A,212.13
102,A,130.22
59,B,203.49
64,B,171.17
155,B,88.37
76,B,73.16
6,A,79.66
66,B,167.65
137,A,169.85
96,B,323.35
37,B,-89.52
108,A,190
85,B,25.82
89,A,149.63
53,B,-162.63
5,B,371.91
45,B,377.53
75,B,-21.34
131,A,128.32
134,B,107.1
92,B,22.47
120,B,101.96
84,A,125.75
30,B,456.82
94,B,326.18
3,B,366.55
135,A,139.96
101,A,148.61
35,A,97.64
40,A,151.99
4,B,196.38
119,A,122.85
150,B,105.76
93,B,276.02
63,B,111.65
68,A,125.17
105,A,191.44
26,A,125.35
72,B,333.14
79,A,116.29
123,A,171.93
132,B,178.84
100,A,125.81
145,B,191.98
121,B,91.28
141,B,1.75
65,A,89.48
43,B,248.75
140,A,183.72
109,A,152.29
128,A,231.44
48,B,367.17
83,A,118.95
18,A,119.32
36,A,163.36
46,B,127.48
51,B,195.88
106,B,-20.97
19,A,125.71
77,A,121.76
11,A,107.49
154,A,167.09
112,A,172.75
74,B,-182.19
67,A,156.21
139,A,126.21
156,B,283.46
115,B,8.76
27,A,170.51
29,B,328.54
104,B,312.03
49,A,102.73
39,B,298.19
41,B,-37.4
16,A,148.43
129,B,378.45
38,A,121.84
99,B,299.54
86,B,357.89
23,A,129.31
107,B,368.26
25,A,140.41
122,B,176.44
73,A,185.21
31,A,125.77
15,A,162.42
87,B,-18.96
80,B,138.85
56,B,58.84
47,B,248.84
69,A,146.49
98,A,109.89
148,B,-67.67
126,B,194.64
61,B,363.63
110,A,89.98
157,A,116.25
78,A,152.94
133,B,334.79
20,A,113.68
147,A,149.37
17,B,219.58
158,A,173.39
57,B,-177.94
71,B,119.99
44,B,-255
127,A,151.33
111,A,105.52
124,A,230.65
55,A,172.75
34,B,283.45
151,A,87.09
10,A,186.48
113,B,206.97
50,A,137.56
14,A,85.25
125,A,86.62
42,A,124.51
60,B,417.39
24,B,537.64
97,A,152.65
62,A,133.35
32,B,51.94
