Subject,A,B
1,59.42,3.49
2,60.72,6.02
3,61.93,6.09
4,61.4,5.26
5,59.66,6.85
6,60.79,3.96
7,60.35,4.75
8,60.45,5.79
9,59.67,5.53
10,61.19,5.53
11,60.32,4.78
12,60.3,5.92
13,61.56,5.83
14,60.85,7.49
15,60.75,6.49
16,62.63,3.7
17,61.07,3.5
18,59.37,6.78
19,59.82,4.15
20,60.02,3.62
21,61.42,6.09
22,61.72,4.83
23,62.76,4.73
24,60.42,4.14
25,61.3,4.61
26,62.13,6.38
27,61.91,4.5
28,60.62,4.35
29,61.76,5.85
30,62.26,5.97
31,60.59,4.02
32,61.47,5.41
33,61.18,5.58
34,61.23,3.91
35,60.88,6
36,59.93,4.85
37,60.58,3.71
38,60.69,6.38
39,61.14,4.82
40,61.38,6.53
41,61.75,5.15
42,60.41,6.29
43,62.05,5.42
44,61.35,5.01
45,60.66,5.63
46,60.85,4.66
47,63.77,4.4
48,61.56,5.45
49,61.13,5.68
50,62.86,4.9
51,62.89,6.56
52,61.38,4.22
53,61.44,4.78
54,61.53,5.81
55,60.27,5.08
56,63.09,5.57
57,60.42,5.07
58,60.1,4.24
59,60.62,4.86
60,59.74,6.42
61,63.33,5.45
62,59.47,6.38
63,60.71,5.71
64,60.9,7.38
65,61.29,7.3
66,61.72,5.34
67,61.07,3.67
68,62.11,5.49
69,58.29,6.17
70,61.32,6.51
71,61.67,7.58
72,59.84,5.33
73,60.88,6.57
74,61.55,4.15
75,62.35,4.91
76,60.84,5.35
77,60.49,5.84
78,61.3,5.23
79,61.01,5.26
80,61.35,5.06
81,58.78,5.5
82,60.82,4.88
83,62.41,5.96
84,61.46,5.27
85,62.88,4.29
86,61.96,6.99
87,61.57,6.06
88,60.57,4.69
89,61.01,3.81
90,63.54,3.04
91,59.49,6.36
92,60.04,5.52
93,62.64,6.66
94,60.86,5.41
95,60.91,5.92
96,61.42,3.64
97,60.89,4.13
98,60.84,7.05
99,59.27,5.28
100,60.53,6.32
101,61.49,5.26
102,61.06,5.72
103,59.22,5.06
104,61.92,4.16
105,61.02,4.21
106,62.15,6.8
107,61.22,4.82
108,60.76,6.09
109,62.06,5.79
110,61.88,5.54
111,63.52,4.57
112,60.38,6.65
113,59.93,5.04
114,60.69,6.95
115,59.01,3.32
116,60.91,6.27
117,60.95,5.44
118,61.23,4.56
119,59.64,4.1
120,61.31,4.31
121,60.97,2.32
122,59.11,4.83
123,61.46,5.46
124,62.68,5.77
125,61.26,5.07
126,62.19,4.98
127,60.88,6.42
128,57.76,5.73
129,61.62,6.06
130,61.28,6.47
131,61,3.75
132,62.29,5.04
133,61.49,4.95
134,60.99,6.04
135,61.29,6.13
136,59.92,5.54
137,59.3,4.45
138,61.32,7.88
139,62.15,4.12
140,60.91,5.3
141,61.46,3.08
142,61.53,3.39
143,61.8,5.27
144,59.95,6.23
145,62.25,4.77
146,59.83,6.76
147,61.64,6.66
148,62.38,3.63
149,61.54,6.02
150,60.91,5.75
151,61.03,5.23
152,60.59,4.77
153,61.36,4.44
154,60.78,5.83
155,59.86,7.1
156,61.25,5.72
157,62.72,6.49
158,62.1,4.75
159,60.31,5.65
160,60.75,5.06
161,61.06,7.37
162,61.18,5.43
