subject,group,values
21,B,121.09
16,B,99.08
18,B,131.25
8,B,86.69
41,A,87.39
17,B,127.98
45,A,111.85
6,B,91.98
14,B,124.52
43,B,112.87
31,B,128.89
32,B,101.61
24,B,127.61
36,B,101.58
20,A,138.64
7,A,96.17
28,A,117.67
40,A,136.18
11,B,128.41
25,B,114.51
26,A,139.15
15,A,151.82
42,A,119.1
33,B,107.74
29,A,152.43
2,B,99.88
37,A,145.25
22,A,138.83
44,B,123.79
12,B,141.02
5,B,145.94
35,B,134.14
1,B,60.49
39,A,101.92
46,A,74.72
10,B,132.94
13,A,86.07
9,A,117.92
34,A,66.68
38,B,94.03
30,A,134.97
23,B,95.82
19,B,109.09
3,B,108.49
27,B,163.23
4,B,119.82
