subject,treatment,values
57,A,613.66
74,A,607.42
126,A,632.49
67,A,529.86
231,B,535.04
246,B,602.66
19,A,592.61
247,B,471.86
123,B,518.22
149,A,593.38
70,A,642.99
142,A,671.74
111,A,619.52
100,B,700.92
99,A,656.13
56,B,753.03
39,B,650.46
118,B,534.53
203,B,757.58
158,B,767.15
213,B,461.11
2,B,670.22
240,B,447.56
10,A,604.64
14,A,646.75
62,B,674.08
236,A,681.36
153,B,730.8
237,A,629.19
179,B,708.48
251,A,571.39
49,B,513.04
88,B,669.92
159,A,551.51
89,B,687.95
229,B,557.87
204,A,585.26
180,A,587.19
145,A,606.45
113,B,773.3
64,A,631.49
201,A,621.29
103,B,761.79
17,A,551.85
106,B,646.09
125,B,771.35
235,A,595.47
107,B,577.81
75,A,624.18
15,B,626.86
97,A,623.67
27,B,452.1
112,A,618.17
141,A,652.1
146,A,650.03
207,A,608.99
220,B,666.33
135,A,590.27
174,B,769.57
192,B,760.31
3,A,575.73
195,B,614.14
37,B,682.36
205,A,582.73
13,A,606.59
1,B,614.02
45,A,686.38
25,B,709.4
77,A,662.58
50,A,565.45
59,A,601.21
28,B,540.08
165,A,604.01
63,B,732.77
84,B,540.3
244,A,629.34
6,A,597.51
198,B,466.19
252,A,608.31
127,A,638.54
140,B,690.63
132,A,635.2
226,A,661.09
234,A,732.86
119,A,603.3
18,A,574.7
105,B,481.6
208,B,484.54
230,B,397.83
178,A,597.24
40,A,591.4
110,A,623.8
93,B,302.35
73,A,568.48
200,B,597.36
92,A,616.36
170,A,648.06
76,B,788.07
36,A,601.9
160,B,716.74
90,B,634.76
199,A,591.97
82,A,661.19
55,A,626.7
120,B,602.42
48,B,608.09
42,B,421.91
22,B,543.3
68,A,640.05
219,A,593.05
23,A,682.68
122,B,683.85
152,B,457.58
202,B,696.73
131,B,520.7
117,B,585.28
133,A,661.99
96,A,657.77
206,B,712.59
188,B,541.14
65,B,300.53
144,B,704.17
217,B,741.53
241,A,642.4
78,B,577.04
54,A,662.09
166,B,588.3
139,A,656.11
171,B,546.6
114,A,632.89
157,B,478.95
108,B,514.55
33,A,592.33
191,A,576.22
151,A,592.55
161,B,633.94
232,A,644.77
116,B,580.42
187,A,652.83
215,B,644.76
47,B,584.19
197,A,608.08
61,B,533.6
196,A,678.73
43,A,576.39
7,A,634.14
249,A,579.44
124,A,586.5
86,A,530.41
44,A,618.12
147,B,431.2
4,A,566.59
156,B,540.2
29,B,557.68
176,A,599.53
242,A,642.67
136,A,649.27
183,B,700.99
83,B,542.73
20,B,712.28
34,A,668.57
221,B,672.26
186,B,649.09
26,B,364.8
212,B,679.71
46,A,647.02
12,A,614.83
115,B,330.38
245,A,578.16
228,B,733.32
154,B,664
52,B,594.21
211,A,674.34
35,B,714.45
184,A,553.72
172,B,663
24,A,640.95
168,B,681.47
222,B,633.81
227,A,611.46
53,B,348.81
239,A,592.03
98,B,609.93
102,A,708.36
31,A,615.24
163,B,597.28
209,A,613.55
30,B,619.15
177,A,648.24
5,B,692.15
175,B,751.34
21,A,671.62
38,B,416.74
254,A,625.43
71,A,596.56
167,A,642.76
162,B,450.83
243,A,613.58
190,B,768.81
41,B,580.81
101,B,513.71
250,B,805.27
225,A,599.3
130,A,647.58
194,B,537.58
143,B,549.04
109,B,694.05
81,B,647.58
80,A,594.47
79,A,613.5
148,B,639.59
66,B,625.07
51,A,617.39
238,A,628.04
87,A,602.82
214,B,599.77
134,A,663.7
181,B,433.63
155,B,355.39
16,A,571.1
94,B,499.8
58,A,627.81
173,A,598.68
138,A,624.12
69,B,531.75
164,A,624.48
210,B,190.04
11,A,638.11
128,B,702.71
72,B,654.84
150,A,604.87
216,B,532.49
8,B,714.05
253,B,608.85
104,A,632.73
91,B,484.21
193,B,608.2
85,B,458.74
182,B,703.76
248,B,744.26
32,A,628.48
137,A,593.36
218,A,643.05
189,B,632.32
95,A,625.09
169,B,738.51
60,B,394.11
224,B,489.86
9,A,562.37
121,A,603.5
233,A,633.49
129,A,663.66
185,A,659.54
223,A,682.6
