subject,condition,values
7,A,406.41
15,B,476.94
22,A,442.36
2,A,401.54
8,B,443.74
40,A,450.55
41,A,435.36
21,B,429.96
16,B,416.76
28,A,385.02
1,B,393.56
33,A,397.36
45,B,293.87
34,B,374.04
39,B,448.1
27,A,381.44
18,A,398.63
20,A,419.09
13,B,426.05
9,B,429.44
17,B,411.12
10,B,392.77
36,A,301
14,B,445.52
4,B,444.9
38,A,383.97
25,B,424.15
19,B,344.3
29,B,405.74
30,A,440.31
5,B,418.35
26,A,458.3
11,B,435.22
43,B,451.51
46,B,452.79
31,A,406.36
47,B,388.36
37,B,353.58
23,B,453.42
35,A,420.92
3,B,317.32
6,B,359.38
42,B,431.41
12,B,394.89
32,A,395.03
44,A,551.09
24,A,308.59
