Subject,A,B
1,65.53,64.77
2,65.05,65.55
3,64.54,66.1
4,66.46,64.66
5,65.67,65.29
6,63.97,66.82
7,65.64,65.08
8,65.63,65.19
9,67.05,63.66
10,66.21,64.21
11,66.48,64.64
12,64.5,66.23
13,65.03,65.56
14,66.29,64.25
15,65.29,65.15
16,64.73,66.32
17,65.35,65.87
18,65.43,65.15
19,63.91,66.32
20,65,65.54
21,65.77,64.88
22,64.15,66.5
23,65.1,65.24
24,64.7,66.07
25,65.22,65.46
26,66.78,64.11
27,64.35,66.78
28,65.63,65.22
29,65.73,64.88
30,65.02,65.41
31,64.88,65.87
32,65.32,65.82
33,66.03,64.84
34,64.21,66.49
35,65.28,65.22
36,65.52,65.33
37,65.44,65.1
38,64.61,65.73
39,65.85,64.63
40,65.98,64.46
41,67.24,63.32
42,65.45,64.99
43,66.48,64.13
44,62.88,67.72
45,64.7,65.55
46,65.06,66.38
47,65.35,65.33
48,64.99,66.07
49,65.15,66.17
50,65.45,65.39
51,66.18,64.37
52,66.61,64.34
53,64.58,66.13
54,66.58,64.78
55,64.73,66.46
56,65.58,65.46
57,65.77,65.01
58,63.85,66.59
59,63.99,67.05
60,65.1,65.27
61,65.95,64.86
62,66.34,64.48
63,65.48,66.28
64,64.9,65.37
65,65.55,65.26
66,66.31,64.87
67,65.99,65.03
68,65.17,65.31
69,64.29,66.02
70,64.26,66.6
71,63.56,67.63
72,66.41,64.06
73,63.72,66.76
74,65.73,65.27
75,64.88,65.56
76,65.01,65.71
77,66.21,64.67
78,64.75,66.51
79,64.37,66.01
80,66.66,64.12
81,65.99,64.14
82,66.27,64.3
83,65.03,65.99
84,65.07,65.51
85,65.43,65.6
86,65.46,65.09
87,65.99,64.89
88,65.08,65.6
89,66.21,64.27
90,65.12,65.62
91,64.43,66.13
92,67.91,63.19
93,63.28,67.87
94,65.49,65.39
95,62.4,68.49
96,65.22,65.28
97,64.39,66.03
98,64.59,65.95
99,66.83,64.05
100,65.89,65.13
101,65.04,65.59
102,64.86,66.43
103,63.3,67.09
104,63.76,66.82
105,64.94,65.87
106,64,66.48
107,66.78,63.8
108,65.21,65.34
109,65.43,65.07
110,66.71,64.15
111,66.17,65
112,66.74,63.71
113,65.24,65.14
114,64.63,66.55
115,66.83,63.92
116,65.48,65.29
117,65.7,65.03
118,65.01,65.5
119,66.36,64.56
120,65.13,65.29
121,64.2,66.68
122,66.33,64.82
123,66.32,64.26
124,66.96,63.82
125,65.22,65.68
126,65.44,65.03
127,65.57,65.11
128,64.1,66.77
129,65.37,65.37
130,65.48,65.77
131,66.45,64.33
132,64.43,66.33
133,65.6,64.96
134,65.11,65.61
135,65.03,65.44
136,65.49,64.94
137,64.98,65.7
138,65.18,65.78
139,65.91,64.8
140,65.46,65.45
141,64.57,66.11
142,64.19,66.44
143,66.88,64.16
144,64.54,66.21
145,66.88,64.11
146,64.48,65.6
147,64.89,65.61
148,65.27,65.35
149,65.75,65.01
150,66.75,64.68
151,64.71,66.07
152,64.51,66.13
153,64.94,65.55
154,65,65.24
155,65.18,65.79
156,66.02,65.03
157,66.58,64.71
158,65.38,65.85
159,65.96,64.29
160,66.77,63.58
161,65.68,65
162,64.66,66.23
163,63.94,66.26
164,64.96,65.46
165,65.41,65.22
166,66.47,64.35
167,66.87,64.54
168,64.28,66.15
169,63.55,67.45
170,65.38,65.41
171,65.38,65.2
172,64.95,65.75
173,65.99,64.89
174,66.83,64.19
175,64.05,66.65
176,65.29,65.41
177,67.17,63.58
178,65.53,64.28
179,66.07,64.37
180,66.12,64.48
181,64.3,66.6
182,66.64,63.86
183,65.43,65.2
184,68.03,62.5
185,63.82,67.44
186,63.42,67.47
187,65.53,64.97
188,65.57,65.05
189,67.43,63.78
190,64.11,66.5
191,66.63,64.13
192,66.02,65.15
193,65.07,65.16
194,66.06,64.64
195,65.81,65.35
196,64.2,66.13
197,64.9,65.87
198,66.56,64.53
199,67.17,63.37
200,66.64,64.33
201,64.26,65.86
202,63.9,66.32
203,63.54,67.47
204,65.3,65.66
205,65.26,65.45
206,66.25,64.88
207,64.23,66.16
208,64.38,66.54
209,64.65,66.35
210,66.3,64.8
211,65.6,65.17
212,64.05,67.1
213,63.7,67.02
214,65.39,65.58
215,64.39,66.88
216,65.57,65.63
217,66.03,64.44
218,63.67,66.61
219,66.51,63.73
220,65.44,65.65
221,64.25,66.71
222,64.32,66.7
223,67.36,63.54
224,64.61,65.91
225,64.53,66.46
226,65.65,65.51
227,65.02,65.23
228,65.08,65.4
229,67.58,63.91
230,67.56,63.79
231,66.18,65.05
232,65.82,64.84
233,64.63,66.07
234,63.7,67.27
235,66.92,64.24
236,65,65.29
237,65,65.4
238,65.27,65.27
239,65.56,65.11
240,65.82,64.94
241,65.38,65.48
242,65.63,64.7
243,64.56,66.05
244,65.45,65.67
245,63.92,66.72
246,66.39,64.75
247,64.12,66.28
248,64.87,65.36
249,65.88,65.49
250,64.62,66.61
251,65.51,64.69
252,65.64,65.47
253,64.82,66.19
254,65.07,65.94
255,65.96,64.57
256,66.41,64.53
257,67.26,64.27
258,65.15,65.69
259,63.66,66.62
260,65.37,65.13
261,66.41,64.42
262,66.65,63.75
263,66.05,64.9
264,66.07,64.82
265,65.93,65.06
266,64.94,65.9
267,63.59,67.16
268,65.44,65.57
269,65.54,65.18
270,63.9,66.75
