Subject,A,B
1,80.93,66.96
2,80.86,66.98
3,80.46,66.06
4,80.59,65.68
5,78.49,65.92
6,81.57,66.37
7,80.93,66.25
8,80.09,65.14
9,80,65.42
10,80.98,65.21
11,81.53,66.98
12,81.63,67.45
13,80.87,67.23
14,80.81,67.45
15,81.11,66.9
16,80.63,66.65
17,80.99,65.84
18,82.19,67.42
19,81.3,68.12
20,81.46,68.94
21,79.54,66.29
22,80.87,67.15
23,82.38,67.74
24,80.73,68.15
25,81.49,65.66
26,80.42,64.79
27,80.05,65.44
28,80.46,65.34
29,80.76,67.39
30,79.2,65.44
31,79.37,65.42
32,81.9,67.24
33,79.71,65.92
34,81.52,67.16
35,81.42,65.82
36,80.35,66.67
37,80.18,67.03
38,81.81,67.9
39,80.42,66.76
40,81.4,66.75
41,84.75,69.36
42,78.71,66.93
43,81.81,67.67
44,79.46,67.13
45,81.88,66.7
46,80.86,66.61
47,80.9,67.57
48,81.37,67.34
49,81.38,66.9
50,81.87,67.35
51,80.75,66.05
52,80.54,65.95
53,80.07,66.31
54,76.19,66.2
55,81.57,66.01
56,80.16,67.41
57,81.15,67.66
58,80.21,67.77
59,79.05,66.95
60,81.34,67.19
61,79.75,67.85
62,80.16,66.84
63,80.16,66.66
64,81.63,66.43
65,79.82,67.84
66,81.75,66.76
67,81.54,67.62
68,79.66,64.77
69,82.88,68.72
70,79.75,65.95
71,82.22,69.11
72,80.61,64.83
73,81.7,68.38
74,80.37,65.99
75,80.99,64.66
76,82.76,68.37
77,80.71,65.07
78,80.1,65.39
79,82.42,67.48
80,79.63,66.08
81,80.73,67.96
82,82.03,67.94
83,79.99,66.62
84,79.87,66.45
85,81.31,67.34
86,80.33,66.28
87,81.65,68.7
88,81.8,68.37
89,80.05,66.61
90,79.66,65.79
91,80.35,67.02
92,81.03,67
93,81.66,67.07
94,82.18,69.43
95,81.99,67
96,81.98,67.01
97,79.68,67.12
98,81.27,66.93
99,80.22,67.92
100,82.39,66.67
101,80.15,65.81
102,81.14,68.25
103,80.21,65.8
104,80.52,66.32
105,81.32,66.31
106,79.24,67.38
107,80.95,64.75
108,80.66,66.03
109,80.84,65.85
110,82.35,67.52
111,80.32,67.36
112,80.63,66.63
113,81.04,67.85
114,81.07,66.09
115,80.38,65.08
116,80.46,65.87
117,80.04,65.11
118,80.43,67.37
119,80.02,68.19
120,80.56,66.39
121,80.46,66.27
122,80.91,67.99
123,81.07,66.92
124,80.4,66.4
125,80.68,66.35
126,81.7,67.85
127,80.27,65.16
128,81.18,65.27
129,81.01,64.65
130,80.66,65.83
131,79.96,65.02
132,80.71,67.99
133,81.66,66.78
134,83,69.01
135,80.54,67.14
136,82.51,67.85
137,82.13,67.07
138,82.46,69.14
139,81.04,65.12
140,81.4,65.71
141,81.48,67.22
142,82.65,67.75
143,81.23,67.76
144,79.25,65.78
145,80.88,67.03
146,79.69,64.55
147,80.38,65.79
148,80.9,66.75
149,81.3,66.21
150,80.21,67.37
151,81.99,68.06
152,79.98,65.04
153,81.79,66.87
154,81.69,66.56
155,80.71,65.41
156,81.36,67.04
157,79.82,66.93
158,79.52,65.71
159,81.34,65.7
160,79.64,66.19
161,81.66,64.83
162,81.4,66.56
163,80.99,66.77
164,80.84,67.37
165,82.59,67.09
166,81.2,67.69
167,81.77,65.76
168,81.5,67.46
169,79.58,66.87
170,80.7,66.06
171,79.48,65.53
172,79.36,65.48
173,81.69,66.62
174,79.23,66.04
175,79.81,65.78
176,81.35,66.75
177,81.19,66.36
178,81.15,66.17
179,78.85,67.05
180,81.25,68.63
181,80,66.64
182,81.24,66.78
183,80.36,68.42
184,80.61,65
185,81.09,65.37
186,80.42,66.47
187,80.57,67.69
188,81.61,67.24
189,80.03,66
190,82.12,68.95
191,79.74,68.77
192,80.38,65.58
193,80.8,66.54
194,80.43,68.11
195,80.86,66.17
196,81.45,67.22
197,81.84,66.86
198,81.38,68.39
199,80.55,65.71
200,79.92,66.02
201,80.36,65.94
202,81.18,66.93
203,80.89,65.98
204,79.33,64.88
205,80.05,66.75
206,81.28,65.81
207,80.29,65.87
208,80.1,66.61
209,80.45,67.99
210,81.64,66.15
211,80.74,65.39
212,79.91,67.19
213,79.6,66.25
214,81.02,67.48
215,80.32,65.28
216,81.05,66.81
217,81.45,67.06
218,80.31,64.4
219,80.26,66.34
220,80.57,65.19
221,81.54,66.71
222,80.65,67.09
223,79.66,65.58
224,81.69,67.29
225,81.8,66.29
226,80.41,65.11
227,81.25,68.5
228,80.54,67.89
229,80.19,66.14
230,80.25,67.69
231,79.75,67.62
232,80.48,67.21
233,80.69,66.57
234,80.13,67.27
235,80.89,67.11
236,79.34,66.29
237,79.18,64.92
238,79.82,67.77
239,80.74,66.77
240,79.26,65.76
241,80.2,66.92
242,79.9,66.13
243,81.27,67.82
244,81.22,66.02
245,81.02,66.38
246,79.6,66.42
247,78.06,65.18
248,81.96,66.82
249,82.44,66.41
250,80.24,66.56
251,79.12,64.1
252,79.66,67.63
253,81.04,65.92
