"Year","Sightings"
1910,2
1920,1
1925,1
1929,1
1931,2
1934,1
1936,1
1937,2
1939,3
1941,1
1942,2
1943,1
1944,3
1945,7
1946,8
1947,33
1948,7
1949,15
1950,21
1951,13
1952,37
1953,26
1954,38
1955,25
1956,39
1957,62
1958,42
1959,43
1960,51
1961,41
1962,56
1963,68
1964,78
1965,164
1966,160
1967,147
1968,175
1969,120
1970,109
1971,97
1972,119
1973,188
1974,219
1975,247
1976,222
1977,206
1978,258
1979,191
1980,194
1981,133
1982,134
1983,122
1984,144
1985,171
1986,153
1987,176
1988,188
1989,200
1990,191
1991,180
1992,183
1993,228
1994,324
1995,915
1996,646
1997,1009
1998,1404
1999,2253
2000,2184
2001,2445
2002,2439
2003,2958
2004,3244
2005,3228
2006,2884
2007,3470
2008,4016
2009,3678
2010,3548
2011,4379
2012,6319
2013,6057
2014,1964
