"Subject","IQ","Finish"
1,98.8,"No"
2,111,"No"
3,130.8,"No"
4,103,"No"
5,81.1,"No"
6,106.4,"No"
7,113.8,"No"
8,80.2,"No"
9,93.7,"No"
10,111.6,"No"
11,116.7,"No"
12,109.6,"No"
13,113.6,"Yes"
14,130.5,"Yes"
15,148.7,"Yes"
16,124.6,"Yes"
17,85.1,"Yes"
18,99.9,"Yes"
19,115.9,"Yes"
20,121,"Yes"
21,128.2,"Yes"
22,110.5,"Yes"
23,136.4,"Yes"
24,114.4,"Yes"
25,84,"Yes"
26,126.6,"Yes"
27,100.7,"Yes"
28,109.1,"Yes"
29,105.2,"Yes"
30,106.6,"Yes"
31,107.4,"Yes"
32,110.2,"Yes"
33,98.5,"Yes"
34,127.5,"Yes"
35,115.6,"Yes"
36,115.9,"Yes"
37,109.2,"Yes"
38,118,"Yes"
39,138.6,"Yes"
40,97.8,"Yes"
