"degrees","hemolymph"
3,3.23069021929863
3,3.90477309341952
3,2.16696497004572
3,4.06663054251192
3,4.58512917438193
3,2.72211383041158
3,5.15306560560982
3,1.96585721312503
5,4.43431785313358
5,5.86852173687293
5,5.19833054490859
5,6.30825355131133
5,4.66804385672212
5,5.75562406115625
5,4.0781751629721
5,5.20650392927676
8,5.58147329647092
8,5.56934996971099
8,7.37094641952502
8,8.64801113907493
8,7.27175001942145
8,4.53074500873949
8,5.9759639550699
8,6.51461563740506
14,6.95710907878648
14,8.95303411054144
14,6.45239540141206
14,7.77605309618895
14,7.57548755565411
14,9.97899123579001
14,8.44734722940835
14,8.03163256996913
21,7.64908717542016
21,6.86123648543947
21,7.25635880402883
21,6.20056915869452
21,7.50028980571741
21,6.76038508480691
21,8.11670716597179
21,7.27953221206013
25,6.85310794154502
25,5.51587272229127
25,5.51349418423605
25,6.08249944224164
25,5.38114260504715
25,6.33199833405956
25,7.00645495454199
25,6.67759708957861
28,2.82708793754737
28,4.19763031387137
28,3.27293133860804
28,4.21112419521889
28,3.61777297844903
28,5.31783331700235
28,2.91154213578474
28,5.18123219794773
