"Subject","Condition","Score"
129,"G2",320.414973897796
236,"G1",587.302838349733
233,"G2",255.507609747485
138,"G2",223.757981677626
284,"G1",672.300438499599
278,"G2",259.867556806355
286,"G1",436.09185153677
36,"G1",424.485744822728
128,"G2",171.2624856642
238,"G1",471.455719470099
179,"G2",291.205819006079
282,"G2",320.883642993394
94,"G2",292.82369692482
251,"G1",435.108929654734
255,"G2",292.216413242331
275,"G2",255.713679439179
39,"G2",262.772928155502
257,"G2",265.323503369784
126,"G2",288.84925790466
46,"G2",301.09636039482
124,"G2",308.481260560758
273,"G2",279.285597790229
30,"G2",176.946629175072
136,"G1",440.912375607498
259,"G2",278.227257435481
38,"G2",174.804612200245
243,"G2",264.077969500164
242,"G2",287.873346877503
15,"G2",303.69874445644
162,"G1",458.566632476335
177,"G1",778.144033851995
257,"G1",487.493918356343
71,"G2",372.337891000499
3,"G1",615.807698623523
5,"G2",370.251055357565
267,"G2",251.823717110447
205,"G1",611.941937753501
53,"G1",454.953764492451
213,"G2",264.624956089441
171,"G1",466.04655282963
17,"G2",250.136418464827
269,"G2",362.752865899956
192,"G2",294.739266525119
21,"G1",469.706882652403
310,"G1",587.608850676801
254,"G1",448.849766210548
146,"G2",372.17443740847
114,"G1",450.591132796638
11,"G1",590.635930538102
69,"G1",490.813534771207
256,"G1",559.76182117978
115,"G1",574.885148451861
309,"G1",488.563756255471
61,"G2",258.201160054981
50,"G1",499.483372549656
290,"G2",378.636709404946
199,"G2",253.613007725869
104,"G1",468.888930096903
63,"G2",282.166716477636
200,"G2",124.049356266819
159,"G2",305.274092616524
232,"G2",391.036606332719
249,"G2",185.252638613482
188,"G2",246.187699569101
263,"G2",196.122432235642
281,"G1",411.272105512642
95,"G1",585.778277494595
158,"G1",512.549857546463
222,"G2",341.424042429017
111,"G2",253.608156267471
144,"G1",391.708366173323
130,"G2",236.714457785244
86,"G1",575.46524601444
265,"G2",264.348650498621
302,"G1",475.860277117663
150,"G2",366.353912195675
215,"G1",556.741752568587
260,"G1",447.772006177448
276,"G2",297.675431178372
33,"G1",458.324285222466
62,"G1",450.152419853503
241,"G2",295.710385196211
104,"G2",282.249326613548
167,"G2",313.179756467266
51,"G1",464.323671788371
65,"G1",479.02638167629
166,"G1",519.226937646096
105,"G2",396.772289692698
112,"G2",296.977938601469
195,"G2",266.535166720405
198,"G2",300.32064419077
23,"G1",567.675187621548
227,"G2",304.540629312608
271,"G2",353.766291998584
186,"G2",319.595137954253
106,"G1",508.675400675621
100,"G2",199.086288412762
163,"G1",541.010084262656
270,"G2",281.025668829265
39,"G1",409.124702638982
153,"G1",441.882859443685
