id,sex,media,belief,d
1,Female,Control,High,1.3498039870800314
2,Female,Mockumentary,High,0.901248236180286
3,Male,Documentary,Low,3.1399018615364573
4,Female,Control,High,1.1680955601473162
5,Female,Documentary,High,2.8477795665723735
6,Male,Mockumentary,Low,2.9929847008367076
7,Female,Mockumentary,Low,2.5055693973666786
8,Female,Control,Low,1.9120623085255286
9,Male,Control,Low,3.7221658509699864
10,Female,Documentary,Low,2.2411837082426613
11,Male,Documentary,Low,2.1426275450777923
12,Male,Control,High,1.4291073081225258
13,Female,Control,High,1.6176132191987689
14,Female,Documentary,Low,1.4861992304842606
15,Female,Documentary,Low,1.2391357669766474
16,Male,Control,Low,1.47962808699278
17,Male,Documentary,High,3.551834207039618
18,Female,Documentary,High,3.085757971750939
19,Male,Documentary,High,2.473660248529344
20,Female,Mockumentary,Low,2.3681801163949254
21,Male,Documentary,Low,1.766208103742799
22,Female,Control,High,2.8285686969588806
23,Male,Control,High,
24,Female,Documentary,Low,2.21577375872248
25,Female,Control,Low,2.7952576600693524
26,Female,Documentary,High,1.7853226820009074
27,Female,Documentary,High,2.8931343703127967
28,Male,Mockumentary,Low,1.9039652944754815
29,Male,Control,High,2.074434600743836
30,Female,Mockumentary,Low,2.18368730010277
31,Female,Documentary,High,2.1694198915841536
32,Female,Control,Low,1.8216680331289543
33,Female,Documentary,Low,2.686628914354854
34,Female,Documentary,High,3.763301216317458
35,Female,Control,High,2.5793279180123823
36,Female,Documentary,Low,2.4584424620887515
37,Female,Control,High,2.0736189360874664
38,Female,Mockumentary,High,
39,Female,Mockumentary,Low,2.2838015977572503
40,Female,Control,Low,0.08000413556532049
41,Female,Mockumentary,High,2.227012460956365
42,Female,Documentary,High,1.4845227419855709
43,Female,Documentary,High,
44,Female,Documentary,High,3.6549865144031113
45,Female,Documentary,High,2.902432966532355
46,Female,Mockumentary,Low,2.364619230471562
47,Female,Documentary,Low,1.0041289745799853
48,Male,Mockumentary,Low,2.197163182623439
49,Female,Mockumentary,High,1.0384247046841348
50,Female,Documentary,Low,1.2864989967824707
51,Female,Control,High,1.793213925892354
52,Female,Mockumentary,Low,1.4356304176379013
53,Male,Documentary,Low,2.9300734261774393
54,Female,Mockumentary,Low,2.1761114579747916
55,Male,Documentary,High,5.110199877986048
56,Female,Documentary,High,4.464343428255387
57,Female,Mockumentary,High,1.0568971555690008
58,Male,Control,High,2.3389479592674114
59,Female,Documentary,High,3.490357914495489
60,Female,Control,Low,0.39131448049078466
61,Female,Control,Low,2.4328714547092583
62,Female,Mockumentary,High,2.2568342865464652
63,Male,Documentary,Low,2.292486419489071
64,Male,Documentary,Low,0.7594914796879724
65,Female,Mockumentary,Low,0.8617426788956475
66,Male,Mockumentary,Low,0.9605978195832404
67,Female,Control,Low,2.107874959346139
68,Male,Mockumentary,Low,3.766817155016838
69,Female,Mockumentary,High,1.2147346824147374
70,Male,Mockumentary,High,3.0383142158544354
71,Male,Documentary,High,0.8003155783788709
72,Female,Documentary,High,2.882411948418371
73,Male,Control,High,2.723643124407703
74,Male,Documentary,High,2.661406649204371
75,Female,Mockumentary,High,-0.20889457755732632
76,Male,Control,Low,1.2607170989182852
77,Male,Control,Low,1.726251965591438
78,Male,Control,High,2.3660998851608848
79,Male,Mockumentary,High,2.1707884043475096
80,Female,Control,Low,1.9425362484357989
81,Male,Documentary,Low,1.0552313523054986
82,Male,Mockumentary,High,1.8389774917295045
83,Female,Control,Low,
84,Female,Documentary,High,3.073754660216066
85,Female,Documentary,Low,2.9319579643476903
86,Female,Control,High,2.8958888608281166
87,Female,Mockumentary,High,1.6354543283258252
88,Female,Mockumentary,Low,2.6039852065401314
89,Female,Mockumentary,High,0.6198522028684307
90,Female,Control,High,2.579200865434785
91,Female,Mockumentary,High,0.17429417880654086
92,Male,Control,Low,1.4463634912402248
93,Female,Documentary,High,2.5775458025719926
94,Female,Control,Low,2.663622072473732
95,Female,Mockumentary,Low,3.207736403861294
96,Male,Documentary,Low,2.1680441426450052
97,Female,Documentary,Low,4.1004710480957876
98,Female,Documentary,High,2.2889097884390406
99,Male,Control,High,2.730310138382625
100,Male,Documentary,Low,1.7740876399433991
101,Male,Mockumentary,High,-0.36121051595035225
102,Female,Documentary,Low,1.8344921086843378
103,Female,Control,Low,3.3281594153145697
104,Female,Documentary,Low,3.235808050715014
105,Male,Documentary,Low,1.6446495693247367
106,Female,Control,High,3.8952185121708194
107,Male,Control,High,1.7109573685020816
108,Female,Mockumentary,High,2.280617545658427
109,Female,Control,High,1.7182659616934322
110,Male,Documentary,High,3.998801704875776
111,Female,Control,Low,2.764746537197711
112,Female,Control,High,1.7842275437424795
113,Female,Mockumentary,Low,1.75838881686872
114,Male,Documentary,Low,-0.13758177673703775
115,Female,Mockumentary,High,0.11903574370513459
116,Female,Documentary,Low,1.4713298643380266
117,Female,Control,Low,1.9097485933052611
118,Female,Mockumentary,Low,0.8493972359297419
119,Male,Mockumentary,Low,2.9654483652286334
120,Male,Mockumentary,High,
121,Female,Mockumentary,Low,1.5527953440388735
122,Female,Control,High,2.929686269016136
123,Female,Control,High,3.5612375560347562
124,Male,Mockumentary,Low,2.5879152905753724
125,Female,Control,High,2.2281983784063937
126,Female,Control,High,1.1858507213119538
127,Male,Mockumentary,High,1.0844727815317752
128,Female,Documentary,Low,1.2331406585708524
129,Female,Control,Low,3.2586275304233414
130,Female,Documentary,Low,0.9852473564162123
131,Male,Mockumentary,Low,2.086310433480436
132,Female,Documentary,Low,
133,Female,Documentary,Low,3.083171478979359
134,Female,Control,High,0.9833727756141328
135,Female,Control,Low,
136,Male,Control,Low,1.6091562101213905
137,Male,Mockumentary,High,2.1311630930494863
138,Female,Mockumentary,Low,2.455939074440299
139,Male,Control,High,1.3765292984050552
140,Male,Control,Low,1.9857030724600617
141,Female,Mockumentary,High,1.170460061674319
142,Male,Mockumentary,High,2.442904757547505
143,Male,Control,Low,2.1187280208336317
144,Male,Documentary,High,3.243593862604467
145,Female,Documentary,Low,1.402104741304686
146,Female,Mockumentary,High,1.5687313047650202
147,Female,Documentary,High,3.199690146913866
148,Male,Mockumentary,High,2.4289037559501256
149,Male,Control,Low,0.5922333477424455
150,Female,Control,High,3.0635315805232786
151,Male,Mockumentary,Low,2.8765620987145506
152,Male,Mockumentary,Low,2.518972336345037
153,Male,Mockumentary,High,1.5096089652423883
154,Male,Control,Low,2.575909921785746
155,Male,Control,Low,0.8462174398632192
156,Female,Mockumentary,High,2.893594777190912
157,Female,Mockumentary,Low,
158,Male,Documentary,High,3.278616964988034
159,Male,Documentary,High,2.2574787045642464
160,Male,Mockumentary,Low,3.53684842335024
161,Male,Documentary,High,3.6958193121459604
162,Male,Documentary,High,2.971861147265343
163,Female,Mockumentary,High,2.2749831536892215
164,Female,Control,Low,2.8318410452254814
165,Female,Mockumentary,High,1.3709209394907755
166,Female,Mockumentary,High,1.6103368959633906
167,Male,Mockumentary,Low,1.2253555983484694
168,Male,Control,High,2.6358541257947143
169,Female,Documentary,Low,1.5955625492915204
170,Female,Control,Low,1.7591606533399458
171,Female,Documentary,Low,3.083796516250164
172,Female,Documentary,Low,2.5902732888755677
173,Male,Mockumentary,Low,2.50207959320439
174,Male,Control,High,2.3041694966984645
175,Female,Control,High,2.386712235333384
176,Female,Mockumentary,Low,1.400772157602907
177,Female,Control,High,1.064065051014397
178,Male,Control,Low,2.05803335374765
179,Female,Mockumentary,Low,1.447894975034289
180,Male,Documentary,Low,1.2672906854653492
181,Female,Documentary,High,3.4718080265480045
182,Male,Mockumentary,High,1.131495032719104
183,Male,Documentary,High,3.2337146665792202
184,Male,Documentary,High,2.424776575590303
185,Male,Documentary,High,2.659962699395185
186,Male,Documentary,Low,1.353151430644316
187,Male,Mockumentary,Low,4.022571339998283
188,Female,Documentary,High,
189,Female,Mockumentary,Low,0.9898624459948776
190,Male,Mockumentary,High,2.546994767611931
191,Male,Control,Low,1.902770279304242
192,Male,Documentary,Low,3.905544702187253
193,Male,Control,Low,2.316778301249574
194,Female,Documentary,High,2.92928886865409
195,Male,Mockumentary,Low,3.4937982684677498
196,Male,Control,Low,1.9132752834798965
197,Female,Control,Low,0.19655332436603068
198,Female,Documentary,High,4.343903554153524
199,Female,Documentary,High,2.586167718757852
200,Female,Mockumentary,Low,1.947921451708416
201,Female,Control,Low,2.207756382634518
202,Female,Mockumentary,Low,0.5276262871076882
203,Female,Control,High,2.9803810549040257
204,Female,Mockumentary,Low,1.2929768418956185
205,Male,Mockumentary,Low,2.489899528166328
206,Male,Control,Low,0.7827802941104547
207,Female,Documentary,Low,3.2979841127428378
208,Male,Control,High,2.4156926501539346
209,Female,Control,Low,1.9868241445912858
210,Male,Control,High,0.6398040391792283
211,Female,Documentary,Low,0.3683376819910613
212,Female,Control,High,1.823270006654556
213,Male,Control,Low,1.7691205072350942
214,Female,Documentary,High,1.9588780034052913
215,Female,Control,High,0.9215579925889026
