"Exam1","Exam2","Exam3","Exam4"
73.04,55.89,81.47,74.89
80.13,82.81,69.89,86.62
83.58,62.62,79.13,77
81.07,80.87,68.92,68.23
80.5,85.22,77.21,86.23
70.17,81.86,80.09,77.83
74.65,74.59,74.38,76.21
80.15,66.09,95.71,68.4
66.47,84.16,74.28,73.91
71.52,78.14,77.44,76.66
82.37,84.38,74.73,71.25
65.18,66.55,92.72,77.08
76.54,79.01,80.57,70.51
82.77,82.39,69.7,79.16
68.08,79.5,75.46,71.13
77.1,61.42,80.43,91.71
84.36,78.51,67.55,82.26
75.94,83.63,69.82,71.26
76.53,62.91,82.03,65.59
70.98,78.37,86.03,82.85
76.93,70.83,73.68,53.26
77.53,83.35,79.8,72.77
78.1,74.45,85.33,71.2
64.82,70.91,66.18,89.94
80.42,73.58,78.01,80.67
64.77,77.05,78.75,68.27
66.42,71.41,89.98,79.13
78.51,76.48,77.54,77.23
75.23,80.53,73.61,73.05
73.33,65.63,85.97,74.63
79.79,76.73,76.61,64.8
79.57,72.83,78.6,79.46
66.4,77.69,86.33,77.17
57.7,80.45,85.41,71.01
78.34,71.97,70.72,79.7
78.72,62.81,74,69.5
79.11,74.83,77.14,78.58
64.95,53.9,83.71,80.46
70.8,73.62,90.88,76.17
63.36,74.84,71.68,75.54
71.92,75.42,80.49,80.83
69.39,69.63,95.11,72.53
69.74,73.17,85.15,72.54
87.43,85.32,72.93,66.99
71.47,75.81,77.84,64.16
72.6,64.7,71.59,76.12
78.37,81.32,86.77,72.36
91.81,72.37,82.13,75.82
60.37,72.57,78.21,77.06
67.15,86.57,85.68,60.91
77.18,73.79,69.19,76.79
87.24,78.75,71.38,78.33
68.01,88.7,74.95,79.47
