Subject,Strategy,Delay,Recall
1,Provided,2d,0
2,Generated,2d,2
3,Generated,2d,4
4,Provided,5m,18
5,Rote,5m,14
6,Rote,2d,9
7,Rote,5m,18
8,Provided,2d,0
9,Rote,2d,7
10,Generated,2d,2
11,Generated,5m,13
12,Generated,2d,7
13,Generated,5m,18
14,Provided,5m,23
15,Provided,5m,19
16,Generated,5m,11
17,Generated,5m,21
18,Provided,2d,2
19,Generated,5m,22
20,Generated,5m,17
21,Rote,2d,15
22,Provided,5m,19
23,Provided,5m,18
24,Rote,2d,23
25,Generated,5m,21
26,Provided,5m,20
27,Rote,5m,15
28,Provided,5m,23
29,Provided,2d,4
30,Rote,5m,12
31,Rote,5m,24
32,Rote,2d,12
33,Generated,2d,4
34,Provided,2d,1
35,Generated,5m,15
36,Generated,2d,0
37,Rote,2d,18
38,Rote,2d,13
39,Provided,2d,2
40,Provided,5m,21
41,Rote,5m,18
42,Provided,5m,21
43,Rote,5m,21
44,Generated,2d,4
45,Generated,2d,5
46,Rote,5m,9
47,Generated,5m,10
48,Provided,2d,2
49,Generated,2d,6
50,Generated,5m,9
51,Rote,5m,16
52,Rote,5m,7
53,Generated,5m,16
54,Provided,5m,19
55,Generated,2d,2
56,Provided,5m,24
57,Provided,5m,22
58,Rote,5m,11
59,Generated,2d,1
60,Rote,5m,11
61,Provided,2d,3
62,Generated,5m,4
63,Provided,2d,2
64,Provided,2d,0
65,Generated,5m,17
66,Provided,2d,4
67,Rote,2d,15
68,Generated,2d,7
69,Provided,2d,4
70,Rote,2d,3
71,Rote,5m,24
72,Generated,2d,8
73,Rote,2d,7
74,Rote,2d,26
75,Rote,2d,13
76,Rote,2d,5
77,Provided,2d,2
78,Provided,5m,20
