subject_id,delay,contingency,supp_rat
S041,0s,0.25,0.13495032955087755
S197,0s,0.75,0.0504784844711612
S068,300s,1.00,0.2582749219513321
S090,30s,0.25,0.20025837237412655
S201,0s,0.25,0.12434707571960958
S088,300s,0.75,0.43930475775369004
S073,0s,0.25,0.14697952099649692
S110,30s,0.00,0.2007004739038926
S118,30s,0.75,0.09187549535064443
S220,300s,0.25,0.44708215546407487
S010,30s,0.25,0.14238796558827493
S165,0s,0.75,0.07766979409644399
S016,300s,0.00,0.4840653562856183
S085,0s,0.75,0.09528727633753663
S232,300s,0.75,0.2941409848798394
S107,60s,0.25,0.21592883246147715
S160,300s,0.00,0.5143696037990454
S091,60s,0.25,0.2590157375440585
S121,0s,0.25,0.13185107339091723
S017,0s,1.00,0.02112593765963104
S145,0s,1.00,0.05225694192125682
S037,0s,0.75,0.08943176777034655
S149,0s,0.75,0.05166870008036098
S004,300s,1.00,0.22137797524782835
S019,60s,1.00,0.06668295158054996
S048,300s,0.00,0.5317736797942685
S078,30s,0.00,0.2390931004887459
S142,30s,0.00,0.15473418716045603
S098,30s,1.00,0.07256658867328028
S093,0s,0.00,0.19169176757734652
S187,60s,0.25,0.2486161564775114
S105,0s,0.25,0.08549848099988709
S231,60s,0.75,0.12461308866527683
S185,0s,0.25,0.08928215707269989
S168,300s,0.75,0.4429800079289181
S064,300s,0.00,0.5165894865065964
S077,0s,0.00,0.06838088139604949
S209,0s,1.00,0.00991536809686741
S045,0s,0.00,0.11130653364407651
S177,0s,1.00,0.05617466525900276
S043,60s,0.25,0.258935015435323
S076,300s,0.25,0.45694695000094665
S108,300s,0.25,0.474756033321075
S074,30s,0.25,0.18261339242999236
S214,30s,0.75,0.2157822443882416
S131,60s,1.00,0.13413670003775377
S083,60s,1.00,0.11423382677389539
S009,0s,0.25,0.1820373275283952
S196,300s,1.00,0.21580602981089633
S007,60s,0.75,0.0865908191224515
S212,300s,1.00,0.14874562652118223
S008,300s,0.75,0.3952834090958455
S199,60s,0.75,0.1678421062067244
S233,0s,0.25,0.10005022033793666
S038,30s,0.75,0.07953079712105854
S229,0s,0.75,0.09612591712190562
S134,30s,0.75,0.10232681644172383
S097,0s,1.00,0.0395710562855414
S039,60s,0.75,0.09353239065554754
S061,0s,0.00,0.22728083833485535
S226,30s,1.00,0.06446993934816123
S122,30s,0.25,0.2587691420418467
S067,60s,1.00,0.13676452277739617
S198,30s,0.75,0.11555475320921198
S055,60s,0.75,0.205933876368201
S148,300s,1.00,0.19418365240111346
S035,60s,1.00,0.06385201457512305
S101,0s,0.75,0.051894666187938615
S109,0s,0.00,0.18815950801083142
S205,0s,0.00,0.14667232543095832
S114,30s,1.00,0.08044851331330602
S062,30s,0.00,0.3142785411117752
S211,60s,1.00,0.10191722192174758
S182,30s,0.75,0.15456826517148597
S005,0s,0.75,-0.024162619075238277
S169,0s,0.25,0.11855355415964526
S162,30s,1.00,0.07318701727792465
S130,30s,1.00,0.12969698211575245
S027,60s,0.25,0.16535192462620127
S195,60s,1.00,0.11851410690173349
S066,30s,1.00,0.109696380524825
S206,30s,0.00,0.28493394819542955
S235,60s,0.25,0.32304910476321375
S112,300s,0.00,0.5154864936058633
S123,60s,0.25,0.21066371369598144
S144,300s,0.00,0.4851754717414231
S138,30s,0.25,0.14241136192607698
S030,30s,0.00,0.20484317567966323
S133,0s,0.75,0.13135918848306938
S006,30s,0.75,0.1302604713595338
S167,60s,0.75,0.10443442944922372
S150,30s,0.75,0.1510553264536164
S034,30s,1.00,0.07671546372753836
S189,0s,0.00,0.11886596184711869
S012,300s,0.25,0.478629201500734
S032,300s,0.00,0.5195440933739464
S115,60s,1.00,0.1349630324766394
