participant,dur,dose
110,48.43279675596801,small
51,59.63356637698881,large
23,54.90265068919203,large
4,50.80962278552682,small
39,48.82311622562854,small
95,48.18981119098706,small
38,59.388627431878824,large
124,51.58624989624512,small
72,47.928032880068145,small
48,48.927221460718606,small
30,59.3456113257424,large
91,47.64008140041993,small
70,51.1875311832366,small
26,60.81257952320841,large
107,59.80755911259954,large
123,51.97740546371229,small
127,57.72781426549585,large
96,50.849343947134,small
93,56.56572485017329,large
101,52.560194196432846,small
14,59.700621466975676,large
11,58.396036851804354,large
74,59.758445009447016,large
42,46.92235270818554,small
95,57.50857762899118,large
6,51.794115767323206,small
35,49.43847266964493,small
40,59.11968174944137,large
42,59.469322707585306,large
119,48.72112954791568,small
27,50.43753112236805,small
9,51.10627329738884,small
78,48.37787255046226,small
49,56.27935718105351,large
72,61.73975162731848,large
69,49.290104782392994,small
44,50.61769466871741,small
6,58.45402029888615,large
87,57.52995188427699,large
18,61.16114390800556,large
56,58.38157511105293,large
33,56.345272485913476,large
49,48.31120798350806,small
19,60.873709718357624,large
83,49.36772545690805,small
88,51.70901313105101,small
111,56.29083985046964,large
108,58.375986410960614,large
54,60.28848958349962,large
39,59.04060913860934,large
86,51.35505997865894,small
125,52.291916603821534,small
126,58.297811817298424,large
7,60.36350724417156,large
100,46.59635823002447,small
52,48.229231254393724,small
113,47.10268781907983,small
130,50.93972518022624,small
68,45.89056499448943,small
62,52.1674205623097,small
122,51.57740884735185,small
75,54.047912326191515,large
127,52.054010889401056,small
59,59.57324001504226,large
76,59.23650362344828,large
37,57.81979758093557,large
112,48.45706714048942,small
24,49.6854658010559,small
55,47.436444577141266,small
106,48.83440076399881,small
30,51.60842105522274,small
5,55.50184390305304,large
84,50.64541251436289,small
21,58.14537622379551,large
105,52.39359397186323,small
83,58.62226278990176,large
87,49.76390993267842,small
11,51.32747199759876,small
17,58.9816702118335,large
92,50.24851481697931,small
43,59.37331284840125,large
40,50.109564612029224,small
121,50.86022376695769,small
82,52.854952466317975,small
31,50.49830663349806,small
70,61.4383116465191,large
28,51.70826887312654,small
61,49.367407385922405,small
124,60.45242083324685,large
64,50.780196767942854,small
16,51.446510390653955,small
12,60.935239877646,large
22,59.43064231833989,large
7,51.09110415481378,small
1,48.24209613838358,small
45,61.40544138971941,large
99,57.931832753544676,large
25,60.87408756088915,large
46,51.93093783430517,small
123,61.75556522367588,large
93,48.85285782464197,small
77,47.70111705573952,small
32,45.367955150462116,small
77,61.56353465853071,large
65,48.3748278346527,small
96,57.858321918353795,large
28,59.582422104202436,large
56,50.0879859112095,small
21,46.69997361978327,small
106,60.62446385923475,large
98,62.018189631363086,large
89,55.22680085264229,large
119,60.5246929920898,large
44,61.40323331207577,large
84,59.658797027820235,large
32,62.01895454669229,large
69,59.52111657360735,large
41,49.89903676085193,small
108,45.68202964570528,small
118,61.007757970973586,large
15,59.73334773304146,large
67,50.80168715020237,small
115,59.02806116084636,large
97,61.82626528951344,large
80,49.849857692746916,small
13,46.90365349925777,small
17,50.64519120218455,small
110,58.87171877781598,large
107,52.152078518820254,small
79,51.64307195858569,small
62,61.62773088355268,large
81,47.76274322079896,small
47,60.8554956302375,large
66,51.00870092606067,small
31,59.639304806631245,large
78,57.92832913432939,large
43,50.93495655182635,small
99,47.00943616628354,small
50,61.381558651489556,large
128,49.916356690002765,small
105,60.99024391915306,large
20,58.68732789456326,large
25,49.47371425607469,small
60,47.874598686827355,small
130,59.157542608128935,large
12,49.78239537506565,small
55,58.67169123551186,large
13,59.63516526371709,large
46,58.53426889253986,large
80,57.83966526066721,large
120,49.77318562388423,small
53,56.907863237708014,large
71,58.88228956193697,large
76,50.557104141619035,small
114,48.35683365773662,small
101,59.69118072504225,large
79,57.717971682202815,large
109,52.03315347444185,small
59,48.429294958494694,small
9,59.79654525722253,large
54,47.51209099294772,small
94,46.82084848878519,small
47,52.01162535556719,small
22,50.976079810049534,small
90,45.36999780180027,small
36,61.96950750271316,large
104,44.68140069281564,small
52,58.03605344262838,large
98,48.43273743704963,small
60,61.00985869440488,large
74,50.23124435058995,small
109,60.8480657740137,large
113,59.93911489080049,large
34,50.80936307515779,small
128,59.9401784347919,large
10,47.83348129745607,small
16,60.91871123700193,large
85,60.75389496034259,large
33,52.56776275058235,small
4,59.50062528032199,large
117,52.12959882468981,small
64,61.572091073708435,large
45,50.89139250109553,small
63,52.10422728335375,small
115,48.09835203317547,small
1,57.84466136950854,large
26,48.373275321551745,small
100,59.028739248251654,large
91,59.23829607812934,large
82,59.830048851358136,large
122,59.46751744311684,large
5,47.7369348988415,small
23,48.74272916934818,small
114,57.5743694107734,large
81,60.07446183997863,large
3,51.88511414256318,small
58,56.42669384728111,large
97,51.20968302669898,small
20,51.28975184768153,small
19,49.51257508362631,small
24,60.87740831172032,large
51,48.708941951919364,small
111,52.01403935396769,small
10,59.059583533093985,large
63,58.837159647866955,large
27,61.73317967715654,large
41,58.0052710189749,large
8,56.69784502708598,large
66,61.03019737642103,large
58,51.853046614190696,small
73,49.88132512738917,small
94,55.82237070604094,large
129,50.76366013073289,small
8,49.5345920346769,small
2,60.803216128834194,large
104,54.40027671455454,large
53,50.84082947061923,small
2,51.509016014627896,small
71,50.99979680141883,small
118,49.50260612747357,small
125,57.97358402003326,large
126,51.51441769623811,small
61,61.00244643795088,large
75,47.075131554370564,small
38,49.54195726763825,small
102,50.319387648452626,small
86,59.256221526864444,large
116,48.91250799868374,small
103,50.853887509937465,small
35,57.38145164507852,large
18,49.44000675756678,small
116,54.63997723258022,large
50,48.590578439628814,small
3,60.73375866192986,large
117,56.78800876090611,large
103,61.2995071138792,large
90,54.27897638403253,large
36,45.119711116695015,small
120,60.036136544280154,large
34,61.43948378934759,large
57,51.53862277414944,small
29,59.425201939456166,large
37,49.13444815830019,small
112,59.896336209158484,large
88,60.14523806824312,large
67,54.51479427160579,large
29,49.59370621119997,small
73,60.99448593476978,large
102,60.410156428082956,large
48,60.38049525277519,large
15,52.50732636496822,small
68,54.704843680104766,large
65,60.637204232229266,large
14,49.58543448781924,small
85,47.19565890668625,small
57,56.662568742883,large
129,61.23990251166698,large
121,61.497702135973256,large
89,50.66642758892758,small
92,59.38525184325561,large
