pokedex_number,name,japanese_name,classfication,type1,type2,height_m,weight_kg,percentage_male,hp,speed,attack,sp_attack,defense,sp_defense,generation,is_legendary,base_egg_steps,experience_growth,capture_rate,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_happiness,base_total,abilities
1,Bulbasaur,Fushigidaneフシギダネ,Seed Pokémon,grass,poison,0.7,6.9,88.1,45,45,49,65,49,65,1,0,5120,1059860,45,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,70,318,"['Overgrow', 'Chlorophyll']"
2,Ivysaur,Fushigisouフシギソウ,Seed Pokémon,grass,poison,1,13,88.1,60,60,62,80,63,80,1,0,5120,1059860,45,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,70,405,"['Overgrow', 'Chlorophyll']"
3,Venusaur,Fushigibanaフシギバナ,Seed Pokémon,grass,poison,2,100,88.1,80,80,100,122,123,120,1,0,5120,1059860,45,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,70,625,"['Overgrow', 'Chlorophyll']"
4,Charmander,Hitokageヒトカゲ,Lizard Pokémon,fire,,0.6,8.5,88.1,39,65,52,60,43,50,1,0,5120,1059860,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,309,"['Blaze', 'Solar Power']"
5,Charmeleon,Lizardoリザード,Flame Pokémon,fire,,1.1,19,88.1,58,80,64,80,58,65,1,0,5120,1059860,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,405,"['Blaze', 'Solar Power']"
6,Charizard,Lizardonリザードン,Flame Pokémon,fire,flying,1.7,90.5,88.1,78,100,104,159,78,115,1,0,5120,1059860,45,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,70,634,"['Blaze', 'Solar Power']"
7,Squirtle,Zenigameゼニガメ,Tiny Turtle Pokémon,water,,0.5,9,88.1,44,43,48,50,65,64,1,0,5120,1059860,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,314,"['Torrent', 'Rain Dish']"
8,Wartortle,Kameilカメール,Turtle Pokémon,water,,1,22.5,88.1,59,58,63,65,80,80,1,0,5120,1059860,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,405,"['Torrent', 'Rain Dish']"
9,Blastoise,Kamexカメックス,Shellfish Pokémon,water,,1.6,85.5,88.1,79,78,103,135,120,115,1,0,5120,1059860,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,630,"['Torrent', 'Rain Dish']"
10,Caterpie,Caterpieキャタピー,Worm Pokémon,bug,,0.3,2.9,50,45,45,30,20,35,20,1,0,3840,1000000,255,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,70,195,"['Shield Dust', 'Run Away']"
11,Metapod,Transelトランセル,Cocoon Pokémon,bug,,0.7,9.9,50,50,30,20,25,55,25,1,0,3840,1000000,120,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,70,205,['Shed Skin']
12,Butterfree,Butterfreeバタフリー,Butterfly Pokémon,bug,flying,1.1,32,50,60,70,45,90,50,80,1,0,3840,1000000,45,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,70,395,"['Compoundeyes', 'Tinted Lens']"
13,Weedle,Beedleビードル,Hairy Pokémon,bug,poison,0.3,3.2,50,40,50,35,20,30,20,1,0,3840,1000000,255,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,70,195,"['Shield Dust', 'Run Away']"
