NIN,TN,TW
5.548,2.59,0.137
4.896,3.77,2.499
1.964,1.27,0.419
3.586,1.445,1.699
3.824,3.29,0.605
3.111,0.93,0.677
3.607,1.6,0.159
3.557,1.25,1.699
2.989,3.45,0.34
18.053,1.096,2.899
3.773,1.745,0.082
1.253,1.06,0.425
2.094,0.89,0.444
2.726,2.755,0.225
1.758,1.515,0.241
5.011,4.77,0.099
2.455,2.22,0.644
0.913,0.59,0.266
0.89,0.53,0.351
2.468,1.91,0.027
4.168,4.01,0.03
4.81,1.745,3.4
34.319,1.965,1.499
1.531,2.55,0.351
1.481,0.77,0.082
2.239,0.72,0.518
4.204,1.73,0.471
3.463,2.86,0.036
1.727,0.76,0.721
