incident_severity,fog_density,couns_exp_lvl,full_moon
55.428,63.6,Novice,0
59.755,71.89999999999999,Experienced,1
18.342,35.8,Experienced,0
29.041,76.3,None,0
53.308,78.60000000000001,Experienced,0
60.775,80.9,None,0
65.877,87.6,None,0
53.571,47.599999999999994,Novice,0
57.229,90.9,None,0
38.966,69.89999999999999,Experienced,0
48.358,84.8,Experienced,0
44.731,44,Experienced,0
73.698,88.2,None,1
83.628,80.4,Novice,1
62.762,49.7,None,0
49.296,88.3,None,0
62.391,79.80000000000001,None,1
57.969,72.2,None,0
60.333,49.1,None,1
69.199,84,None,0
49.659,76,Novice,0
32.534,66.4,Experienced,0
52.563,62.6,None,0
55.784,84.89999999999999,None,0
77.316,68.8,Experienced,1
54.975,39.7,None,1
71.529,82,Novice,1
40.391,60.3,None,0
74.356,93.10000000000001,None,0
81.678,91.5,None,1
50.022,76.6,Novice,0
41.701,59.3,Novice,0
43.108,66.5,Experienced,0
54.957,81.8,None,0
44.484,30.8,None,0
60.941,69.1,None,0
66.529,66.3,Novice,1
54.646,89,Novice,0
45.784,82.8,Experienced,0
54.956,79.5,Novice,0
39.268,47.699999999999996,Novice,0
48.668,59.9,Experienced,1
59.3,78.2,Experienced,0
54.379,76.9,Novice,1
56.145,71.2,None,0
47.199,71,None,0
80.304,96,None,0
42.124,57.099999999999994,Experienced,0
80.061,86.7,Novice,1
72.963,70.8,Novice,0
75.314,74.2,None,1
87.816,75.4,None,1
25.154,35.6,None,0
41.167,56.89999999999999,Experienced,0
29.547,82.39999999999999,Novice,0
32.761,53.300000000000004,Experienced,0
52.881,50.4,None,0
57.198,80.30000000000001,Experienced,0
60.687,77.60000000000001,Novice,1
64.35,89.3,Experienced,0
56.982,48.3,None,1
64.516,97.7,Novice,0
79.601,89.8,Novice,1
44.812,79.3,Novice,0
48.201,74.2,Novice,0
47.231,65.3,Experienced,1
31.632,64.7,Novice,0
59.178,60,Novice,1
56.424,89.5,Experienced,1
32.723,23.799999999999997,Novice,0
57.56,51.800000000000004,None,0
54.989,51.2,Novice,1
50.223,28.4,Novice,0
28.174,75.4,Novice,0
58.556,86.3,Novice,0
56.093,79.2,Novice,0
77.595,78.8,Experienced,1
84.906,88.1,None,1
65.298,40.300000000000004,None,1
66.048,75.8,Novice,1
71.162,75.2,Experienced,1
57.553,77.10000000000001,Experienced,0
65.013,65.9,None,1
28.052,19,None,0
54.3,65,Novice,1
47.68,74.1,None,0
58.228,67.7,Experienced,0
54.044,49,None,0
54.563,92.10000000000001,Experienced,0
0.511,52.300000000000004,Experienced,0
51.278,59.3,None,0
52.354,95.3,Novice,0
72.307,70.6,Experienced,1
31.458,37.9,None,0
60.291,52.7,Experienced,1
64.439,56.99999999999999,None,0
58.874,77,Novice,0
59.402,75.5,None,0
58.072,76.3,None,0
66.772,71.5,None,0
39.971,27.900000000000002,Novice,0
21.072,53.1,Experienced,0
38.667,67.5,None,0
51.929,84.6,Novice,0
45.279,69.39999999999999,None,0
