id,condition,hr_bpm
11,No Charm,92.80042
7,Charm,67.04269
53,Charm,78.61459
17,Charm,76.47301
42,No Charm,75.88487
58,No Charm,45.05879
37,Charm,54.55287
52,No Charm,84.73889
41,No Charm,45.07506
3,No Charm,86.50849
18,No Charm,73.58131
54,Charm,74.42372
63,Charm,77.83522
65,No Charm,85.99107
47,No Charm,86.72338
73,No Charm,76.26959
61,Charm,73.8263
74,Charm,74.68175
12,Charm,77.77744
56,Charm,84.32919
44,Charm,73.99696
42,Charm,85.82403
13,No Charm,72.23682
30,No Charm,109.72411
24,Charm,75.962
55,Charm,76.71751
76,No Charm,112.36335
21,Charm,79.21223
2,No Charm,79.26948
23,No Charm,73.96205
26,Charm,72.65148
6,No Charm,95.58384
48,No Charm,75.33514
45,No Charm,80.74213
29,Charm,79.51017
75,Charm,84.75526
39,Charm,70.39154
86,Charm,86.3628
16,No Charm,78.55574
64,Charm,86.89218
51,Charm,82.31968
68,No Charm,77.34369
74,No Charm,91.197
69,Charm,74.89214
43,Charm,73.60944
35,No Charm,85.97035
14,No Charm,84.17874
25,No Charm,90.91117
10,Charm,79.95511
87,No Charm,76.34684
19,No Charm,92.84345
13,Charm,74.58684
77,Charm,72.70285
37,No Charm,94.83237
4,Charm,72.3126
88,Charm,74.37482
32,Charm,75.10944
39,No Charm,106.83057
33,Charm,76.23747
9,Charm,85.73206
10,No Charm,86.98544
83,No Charm,128.65168
75,No Charm,76.23036
71,No Charm,87.34595
73,Charm,77.54388
58,Charm,85.942
4,No Charm,68.011
78,No Charm,80.92772
12,No Charm,86.00725
27,Charm,66.22598
60,Charm,84.93121
82,Charm,78.71656
71,Charm,75.50651
21,No Charm,64.40911
54,No Charm,65.82513
24,No Charm,83.84554
67,No Charm,82.82748
68,Charm,84.48459
36,No Charm,73.0805
22,Charm,65.01751
51,No Charm,79.14344
64,No Charm,66.82214
38,No Charm,103.045
72,No Charm,81.75887
20,Charm,69.497559999999993
44,No Charm,76.95754
5,No Charm,80.46046
50,No Charm,92.2767
72,Charm,70.31951
8,No Charm,105.61735
80,Charm,74.52928
59,Charm,70.1595
65,Charm,78.57392
16,Charm,65.76856
45,Charm,76.79029
6,Charm,74.74373
85,No Charm,81.02811
35,Charm,77.92005
8,Charm,76.85588
7,No Charm,55.04063
86,No Charm,90.78793
20,No Charm,92.32239
14,Charm,75.25407
43,No Charm,82.98713
69,No Charm,63.74733
61,No Charm,78.07124
63,No Charm,76.60259
40,No Charm,84.34867
49,No Charm,77.71735
46,Charm,65.1655
57,No Charm,82.47387
38,Charm,75.20776
60,No Charm,81.58789
19,Charm,70.18638
85,Charm,71.49643
67,Charm,75.61214
81,Charm,68.67261
79,Charm,77.05028
41,Charm,76.05514
25,Charm,76.24455
18,Charm,69.42673
5,Charm,73.74102
15,No Charm,28.505490000000002
31,Charm,72.28276
28,Charm,70.52291
28,No Charm,73.38366
9,No Charm,9.51998
53,No Charm,74.86588
33,No Charm,111.59608
83,Charm,71.52626
47,Charm,77.26168
27,No Charm,80.26013
62,Charm,61.05838
34,Charm,85.48249
70,Charm,73.41737
55,No Charm,53.6737
79,No Charm,72.55873
2,Charm,85.456
56,No Charm,109.93155
40,Charm,78.39277
62,No Charm,77.54623
70,No Charm,76.6527
32,No Charm,94.79541
1,No Charm,66.93471
30,Charm,84.71023
31,No Charm,75.20526
29,No Charm,77.51413
66,No Charm,86.93187
78,Charm,75.23877
48,Charm,79.204
52,Charm,75.75373
66,Charm,77.38444
82,No Charm,87.49043
80,No Charm,68.86131
76,Charm,74.77311
84,No Charm,92.65586
34,No Charm,63.944
23,Charm,70.10421
84,Charm,79.79058
59,No Charm,81.93626
11,Charm,75.81813
87,Charm,76.37902
3,Charm,59.59158
77,No Charm,85.81427
46,No Charm,69.98887
17,No Charm,60.1621
88,No Charm,75.58016
15,Charm,87.39657
36,Charm,71.71208
57,Charm,83.24227
1,Charm,77.52177
50,Charm,68.00946
49,Charm,75.12304
22,No Charm,73.29369
81,No Charm,86.74997
26,No Charm,80.90601
