"id","schedule","prior_exp","responses"
1,"CRF","Inexperienced",34
2,"CRF","Inexperienced",32
3,"CRF","Inexperienced",37
4,"CRF","Inexperienced",34
5,"CRF","Inexperienced",39
6,"CRF","Inexperienced",36
7,"CRF","Inexperienced",30
8,"CRF","Inexperienced",32
9,"CRF","Inexperienced",44
10,"CRF","Inexperienced",40
11,"CRF","Inexperienced",42
12,"CRF","Inexperienced",38
13,"CRF","Inexperienced",32
14,"CRF","Inexperienced",43
15,"CRF","Inexperienced",30
16,"CRF","Inexperienced",32
17,"CRF","Inexperienced",59
18,"CRF","Inexperienced",33
19,"CRF","Inexperienced",39
20,"CRF","Inexperienced",33
21,"CRF","Inexperienced",33
22,"CRF","Inexperienced",34
23,"CRF","Inexperienced",43
24,"CRF","Inexperienced",38
25,"CRF","Inexperienced",32
26,"CRF","Inexperienced",34
27,"CRF","Inexperienced",34
28,"CRF","Inexperienced",37
29,"CRF","Inexperienced",30
30,"CRF","Inexperienced",36
31,"CRF","Experienced",78
32,"CRF","Experienced",63
33,"CRF","Experienced",64
34,"CRF","Experienced",57
35,"CRF","Experienced",72
36,"CRF","Experienced",66
37,"CRF","Experienced",64
38,"CRF","Experienced",78
39,"CRF","Experienced",59
40,"CRF","Experienced",57
41,"CRF","Experienced",67
42,"CRF","Experienced",56
43,"CRF","Experienced",71
44,"CRF","Experienced",55
45,"CRF","Experienced",59
46,"CRF","Experienced",78
47,"CRF","Experienced",77
48,"CRF","Experienced",56
49,"CRF","Experienced",57
50,"CRF","Experienced",62
51,"CRF","Experienced",68
52,"CRF","Experienced",58
53,"CRF","Experienced",62
54,"CRF","Experienced",70
55,"CRF","Experienced",63
56,"CRF","Experienced",56
57,"CRF","Experienced",61
58,"CRF","Experienced",56
59,"CRF","Experienced",57
60,"CRF","Experienced",59
61,"FR","Inexperienced",80
62,"FR","Inexperienced",82
63,"FR","Inexperienced",80
64,"FR","Inexperienced",86
65,"FR","Inexperienced",86
66,"FR","Inexperienced",68
67,"FR","Inexperienced",80
68,"FR","Inexperienced",74
69,"FR","Inexperienced",86
70,"FR","Inexperienced",65
71,"FR","Inexperienced",74
72,"FR","Inexperienced",69
73,"FR","Inexperienced",74
74,"FR","Inexperienced",71
75,"FR","Inexperienced",85
76,"FR","Inexperienced",68
77,"FR","Inexperienced",97
78,"FR","Inexperienced",142
79,"FR","Inexperienced",70
80,"FR","Inexperienced",67
81,"FR","Inexperienced",65
82,"FR","Inexperienced",72
83,"FR","Inexperienced",75
84,"FR","Inexperienced",77
85,"FR","Inexperienced",67
86,"FR","Inexperienced",86
87,"FR","Inexperienced",70
88,"FR","Inexperienced",74
