id,condition,comp_time
32,Serif,172
142,Serif,171
165,Serif,191
127,Serif,274
56,Sans_Serif,171
91,Serif,205
159,Sans_Serif,184
41,Serif,196
97,Serif,83
55,Sans_Serif,188
163,Serif,221
147,Sans_Serif,183
8,Sans_Serif,194
50,Sans_Serif,177
46,Serif,214
87,Serif,153
11,Sans_Serif,322
11,Serif,193
158,Serif,206
123,Serif,156
23,Sans_Serif,169
33,Sans_Serif,194
45,Serif,191
113,Serif,202
38,Sans_Serif,43
138,Serif,208
131,Sans_Serif,165
40,Serif,171
150,Serif,168
170,Serif,182
145,Sans_Serif,187
74,Sans_Serif,177
18,Serif,187
26,Serif,137
123,Sans_Serif,195
24,Serif,226
168,Serif,154
121,Serif,185
139,Sans_Serif,165
40,Sans_Serif,165
85,Serif,217
126,Sans_Serif,203
67,Serif,247
42,Sans_Serif,173
161,Serif,197
88,Sans_Serif,191
66,Serif,185
35,Sans_Serif,170
92,Serif,181
130,Sans_Serif,82
155,Sans_Serif,182
110,Serif,190
111,Serif,214
151,Sans_Serif,221
117,Serif,190
134,Serif,175
23,Serif,211
31,Sans_Serif,180
30,Serif,174
6,Sans_Serif,162
79,Sans_Serif,216
137,Sans_Serif,169
34,Sans_Serif,199
124,Serif,179
127,Sans_Serif,166
49,Sans_Serif,139
26,Sans_Serif,192
119,Serif,174
132,Sans_Serif,194
138,Sans_Serif,90
107,Serif,166
27,Serif,206
24,Sans_Serif,192
7,Serif,206
121,Sans_Serif,173
108,Sans_Serif,188
125,Serif,201
15,Sans_Serif,163
57,Serif,193
97,Sans_Serif,177
49,Serif,188
39,Serif,131
28,Serif,233
73,Sans_Serif,179
150,Sans_Serif,128
22,Sans_Serif,182
105,Sans_Serif,172
155,Serif,227
4,Sans_Serif,141
47,Sans_Serif,175
70,Serif,189
126,Serif,199
137,Serif,126
78,Sans_Serif,200
165,Sans_Serif,165
84,Sans_Serif,160
120,Sans_Serif,170
18,Sans_Serif,187
28,Sans_Serif,209
90,Serif,163
64,Sans_Serif,171
1,Serif,186
9,Sans_Serif,169
102,Serif,160
75,Sans_Serif,163
2,Sans_Serif,178
59,Sans_Serif,287
89,Sans_Serif,171
62,Serif,187
12,Sans_Serif,184
65,Serif,56
91,Sans_Serif,187
159,Serif,216
44,Sans_Serif,168
77,Sans_Serif,172
169,Sans_Serif,177
46,Sans_Serif,180
53,Serif,204
16,Serif,212
17,Sans_Serif,132
133,Serif,215
148,Serif,201
100,Sans_Serif,201
89,Serif,186
124,Sans_Serif,187
169,Serif,175
15,Serif,219
6,Serif,201
153,Sans_Serif,177
99,Sans_Serif,153
147,Serif,153
5,Serif,218
29,Serif,193
156,Serif,190
44,Serif,218
63,Sans_Serif,183
162,Sans_Serif,165
135,Sans_Serif,185
69,Serif,154
80,Serif,62
104,Serif,188
81,Sans_Serif,228
115,Sans_Serif,190
152,Sans_Serif,174
82,Sans_Serif,180
37,Serif,180
39,Sans_Serif,180
57,Sans_Serif,176
43,Serif,197
99,Serif,195
154,Serif,180
63,Serif,184
93,Serif,174
33,Serif,197
68,Sans_Serif,195
5,Sans_Serif,142
168,Sans_Serif,176
131,Serif,210
103,Sans_Serif,181
30,Sans_Serif,179
36,Serif,192
166,Serif,209
56,Serif,188
81,Serif,219
144,Serif,198
42,Serif,183
37,Sans_Serif,173
157,Serif,183
79,Serif,173
20,Sans_Serif,136
162,Serif,209
86,Sans_Serif,177
133,Sans_Serif,197
50,Serif,185
130,Serif,183
54,Sans_Serif,227
10,Serif,189
151,Serif,187
60,Serif,194
117,Sans_Serif,152
67,Sans_Serif,185
93,Sans_Serif,175
119,Sans_Serif,209
20,Serif,190
52,Sans_Serif,182
35,Serif,195
145,Serif,203
135,Serif,180
58,Sans_Serif,190
12,Serif,209
76,Serif,190
141,Serif,253
69,Sans_Serif,178
111,Sans_Serif,186
120,Serif,209
7,Sans_Serif,267
146,Sans_Serif,192
115,Serif,297
90,Sans_Serif,165
66,Sans_Serif,196
140,Sans_Serif,185
72,Sans_Serif,185
25,Sans_Serif,181
129,Serif,199
118,Serif,174
31,Serif,183
139,Serif,187
78,Serif,183
104,Sans_Serif,225
70,Sans_Serif,179
16,Sans_Serif,175
98,Sans_Serif,181
112,Sans_Serif,180
160,Sans_Serif,156
95,Sans_Serif,167
164,Serif,177
160,Serif,181
122,Serif,193
13,Sans_Serif,176
74,Serif,120
153,Serif,186
48,Sans_Serif,185
100,Serif,192
1,Sans_Serif,174
22,Serif,179
107,Sans_Serif,180
61,Sans_Serif,180
13,Serif,228
47,Serif,221
146,Serif,214
142,Sans_Serif,142
152,Serif,186
125,Sans_Serif,235
141,Sans_Serif,145
94,Serif,172
161,Sans_Serif,172
4,Serif,138
65,Sans_Serif,159
110,Sans_Serif,182
144,Sans_Serif,155
85,Sans_Serif,195
52,Serif,180
71,Sans_Serif,210
27,Sans_Serif,185
84,Serif,173
106,Serif,148
163,Sans_Serif,220
36,Sans_Serif,184
51,Sans_Serif,175
60,Sans_Serif,184
83,Sans_Serif,182
129,Sans_Serif,173
170,Sans_Serif,177
116,Serif,154
75,Serif,183
34,Serif,174
95,Serif,182
3,Sans_Serif,186
108,Serif,183
19,Serif,192
82,Serif,181
87,Sans_Serif,192
112,Serif,117
48,Serif,185
10,Sans_Serif,177
122,Sans_Serif,197
76,Sans_Serif,181
106,Sans_Serif,180
29,Sans_Serif,170
64,Serif,213
109,Sans_Serif,177
19,Sans_Serif,187
105,Serif,239
116,Sans_Serif,178
148,Sans_Serif,174
61,Serif,196
128,Sans_Serif,131
14,Sans_Serif,165
158,Sans_Serif,183
143,Serif,188
73,Serif,252
96,Sans_Serif,175
55,Serif,188
62,Sans_Serif,182
21,Serif,210
51,Serif,198
167,Serif,198
149,Serif,196
8,Serif,165
118,Sans_Serif,198
132,Serif,205
9,Serif,191
17,Serif,140
80,Sans_Serif,181
21,Sans_Serif,165
102,Sans_Serif,271
14,Serif,188
58,Serif,221
114,Sans_Serif,188
114,Serif,192
43,Sans_Serif,222
83,Serif,181
77,Serif,200
140,Serif,183
59,Serif,186
134,Sans_Serif,181
98,Serif,188
167,Sans_Serif,202
71,Serif,215
101,Serif,181
156,Sans_Serif,246
103,Serif,121
143,Sans_Serif,161
113,Sans_Serif,116
41,Sans_Serif,177
136,Serif,176
101,Sans_Serif,178
72,Serif,204
94,Sans_Serif,186
166,Sans_Serif,218
3,Serif,184
136,Sans_Serif,186
109,Serif,208
45,Sans_Serif,194
149,Sans_Serif,126
38,Serif,190
96,Serif,203
154,Sans_Serif,188
157,Sans_Serif,210
53,Sans_Serif,120
86,Serif,177
88,Serif,175
92,Sans_Serif,166
164,Sans_Serif,179
32,Sans_Serif,172
2,Serif,198
54,Serif,168
25,Serif,177
128,Serif,185
68,Serif,182
