"location","cone_type","melt_time_min"
1,"pretzel",14.8
1,"sugar",18
1,"wafer",20.2
1,"waffle",20.6
2,"pretzel",9.8
2,"sugar",11.7
2,"wafer",16.6
2,"waffle",17.3
3,"pretzel",18.5
3,"sugar",17.4
3,"wafer",24.5
3,"waffle",22
4,"pretzel",13.5
4,"sugar",15.5
4,"wafer",19.7
4,"waffle",21.6
5,"pretzel",19.2
5,"sugar",19.8
5,"wafer",23.9
5,"waffle",25.2
6,"pretzel",14.7
6,"sugar",14.7
6,"wafer",16.1
6,"waffle",16.7
7,"pretzel",15.8
7,"sugar",14.5
7,"wafer",19.6
7,"waffle",16.6
8,"pretzel",13.7
8,"sugar",14.7
8,"wafer",19.1
8,"waffle",17.5
9,"pretzel",11.5
9,"sugar",10.3
9,"wafer",11.7
9,"waffle",12.9
10,"pretzel",22.6
10,"sugar",22
10,"wafer",23.9
10,"waffle",22.4
11,"pretzel",11.4
11,"sugar",11.7
11,"wafer",13.7
11,"waffle",15.3
12,"pretzel",18.2
12,"sugar",17.4
12,"wafer",23.3
12,"waffle",21.3
13,"pretzel",17
13,"sugar",17.4
13,"wafer",22.2
13,"waffle",24.3
14,"pretzel",12.3
14,"sugar",14.7
14,"wafer",17.2
14,"waffle",16.7
15,"pretzel",11.9
15,"sugar",13.6
15,"wafer",16.8
15,"waffle",13.5
16,"pretzel",16.2
16,"sugar",18.9
16,"wafer",20.6
16,"waffle",20.5
17,"pretzel",14.8
17,"sugar",12.7
17,"wafer",19.1
17,"waffle",17
18,"pretzel",15.6
18,"sugar",18.2
18,"wafer",23
18,"waffle",22.3
19,"pretzel",15
19,"sugar",15.8
19,"wafer",19.6
19,"waffle",17.9
20,"pretzel",21.8
20,"sugar",19.6
20,"wafer",25.4
20,"waffle",22.9
21,"pretzel",10.7
21,"sugar",11
21,"wafer",15.6
21,"waffle",15.1
22,"pretzel",12.9
22,"sugar",11
22,"wafer",17.4
22,"waffle",13.7
23,"pretzel",13.5
23,"sugar",16.4
23,"wafer",23.8
23,"waffle",19.5
24,"pretzel",13
24,"sugar",11.9
24,"wafer",18.6
24,"waffle",17.4
