incident_id,anxiety_score,water_turbidity,viewer_status,peak_summer,incident_date
1,41.4,12.9,Pre-Release,No,1970-01-04
2,56.3,24.6,Pre-Release,No,1970-01-05
3,58.1,30.5,Pre-Release,No,1970-01-19
4,43.6,14.6,Pre-Release,No,1970-02-01
5,43.1,9.5,Pre-Release,No,1970-02-02
6,51.6,16.7,Pre-Release,No,1970-03-18
7,41.5,8.7,Pre-Release,No,1970-04-24
8,47.1,12.4,Pre-Release,No,1970-05-05
9,46.7,28.2,Pre-Release,No,1970-05-19
10,53,10.9,Pre-Release,No,1970-05-29
11,44.1,7.5,Pre-Release,No,1970-06-11
12,54.8,11.8,Pre-Release,No,1970-06-21
13,32.3,5.9,Pre-Release,No,1970-06-30
14,50.9,15.7,Pre-Release,Yes,1970-07-09
15,74.1,53.1,Pre-Release,Yes,1970-07-12
16,53.6,13.2,Pre-Release,Yes,1970-07-17
17,72,27.1,Pre-Release,Yes,1970-07-25
18,49.7,4.9,Pre-Release,Yes,1970-07-26
19,60.6,25.2,Pre-Release,Yes,1970-08-03
20,74.2,46.7,Pre-Release,Yes,1970-08-20
21,56.5,17.3,Pre-Release,Yes,1970-08-30
22,48.6,18.3,Pre-Release,No,1970-09-09
23,44.9,15.3,Pre-Release,No,1970-09-17
24,49.2,10.6,Pre-Release,No,1970-10-08
25,60.5,24.5,Pre-Release,No,1970-10-26
26,53.8,21.8,Pre-Release,No,1970-10-27
27,31.2,5.4,Pre-Release,No,1970-11-08
28,41,5.3,Pre-Release,No,1970-11-21
29,49.2,13.6,Pre-Release,No,1970-11-23
30,58.2,21.2,Pre-Release,No,1970-11-23
31,59.5,35.2,Pre-Release,No,1970-12-10
32,49.9,13.1,Pre-Release,No,1970-12-17
33,46,15.9,Pre-Release,No,1970-12-28
34,43.7,10.8,Pre-Release,No,1971-01-09
35,36.8,11.7,Pre-Release,No,1971-01-10
36,46.7,14.8,Pre-Release,No,1971-01-12
37,49.3,24.5,Pre-Release,No,1971-01-24
38,35.1,7.4,Pre-Release,No,1971-02-01
39,40.2,7.7,Pre-Release,No,1971-02-08
40,53.4,23.4,Pre-Release,No,1971-03-21
41,44.5,9.9,Pre-Release,No,1971-03-25
42,43.2,15,Pre-Release,No,1971-04-02
43,42.9,6,Pre-Release,No,1971-04-03
44,35.9,7,Pre-Release,No,1971-05-02
45,54.2,20.3,Pre-Release,No,1971-05-22
46,38.2,7.5,Pre-Release,No,1971-05-25
47,52.5,6.5,Pre-Release,No,1971-06-03
48,41.3,11.6,Pre-Release,No,1971-06-24
49,42.1,16.5,Pre-Release,No,1971-06-24
50,53.5,9.3,Pre-Release,Yes,1971-07-31
51,51.4,14,Pre-Release,No,1971-09-12
52,44.9,5,Pre-Release,No,1971-09-15
53,53.4,27.1,Pre-Release,No,1971-10-02
54,46.3,18,Pre-Release,No,1971-11-03
55,67.3,32,Pre-Release,No,1971-11-09
56,40.8,3.9,Pre-Release,No,1971-11-10
57,41.4,11.6,Pre-Release,No,1971-11-21
58,93.2,64.9,Pre-Release,No,1971-12-18
59,66.1,34.2,Pre-Release,No,1972-01-10
60,41.9,11.5,Pre-Release,No,1972-01-10
61,55.4,19.8,Pre-Release,No,1972-01-10
62,48.5,5.9,Pre-Release,No,1972-01-19
63,54.8,26.4,Pre-Release,No,1972-02-23
64,22.1,4.9,Pre-Release,No,1972-02-29
65,40.6,9.7,Pre-Release,No,1972-03-03
66,36.4,8.5,Pre-Release,No,1972-03-05
67,42.1,9.8,Pre-Release,No,1972-03-09
68,72.7,39.7,Pre-Release,No,1972-03-15
69,35.6,7.2,Pre-Release,No,1972-03-31
70,54,24.5,Pre-Release,No,1972-04-05
71,38.8,13.2,Pre-Release,No,1972-04-12
72,48.4,20,Pre-Release,No,1972-04-14
73,45.4,14.1,Pre-Release,No,1972-04-25
74,72.8,44.9,Pre-Release,No,1972-04-27
75,43.5,8.4,Pre-Release,No,1972-05-05
76,44,8.1,Pre-Release,No,1972-05-16
77,56.8,14.3,Pre-Release,No,1972-05-27
78,46.1,15.9,Pre-Release,No,1972-06-01
79,64.2,29.1,Pre-Release,No,1972-06-05
80,49.5,6.8,Pre-Release,No,1972-06-10
81,43.7,18.8,Pre-Release,No,1972-06-25
82,43.4,6.1,Pre-Release,Yes,1972-07-16
83,50.6,13.7,Pre-Release,Yes,1972-07-27
84,42.5,6.6,Pre-Release,Yes,1972-07-31
85,48.8,19.7,Pre-Release,Yes,1972-08-15
86,56.7,30.3,Pre-Release,No,1972-09-18
87,49.9,19.2,Pre-Release,No,1972-09-20
88,92.6,69.9,Pre-Release,No,1972-10-03
89,47.4,15.6,Pre-Release,No,1972-10-13
