id,photo_type,photo_tone,hr_bpm
73,Cat,Adorable,83.064645
5,Dog,Adorable,79.135907
117,Cat,Adorable,94.224427
83,Cat,Adorable,98.96261
28,Cat,Neutral,100.203155
67,Cat,Intimidating,87.253986
24,Cat,Neutral,90.398399
49,Dog,Neutral,80.465578
89,Dog,Neutral,85.593555
52,Dog,Neutral,74.301463
12,Cat,Intimidating,89.732039
50,Cat,Adorable,104.997815
74,Dog,Intimidating,89.949942
82,Dog,Intimidating,87.439035
102,Dog,Adorable,73.004218
120,Cat,Intimidating,78.022514
2,Cat,Adorable,95.327832
94,Dog,Neutral,76.837406
48,Cat,Intimidating,88.292145
92,Cat,Neutral,92.82819
56,Cat,Neutral,91.756034
105,Cat,Intimidating,92.105836
60,Dog,Intimidating,88.177425
35,Cat,Neutral,89.652177
106,Cat,Neutral,88.032462
18,Dog,Intimidating,85.350746
107,Cat,Neutral,87.224946
114,Dog,Intimidating,95.027858
14,Cat,Neutral,82.244678
88,Dog,Intimidating,96.733747
111,Dog,Neutral,82.696009
75,Dog,Adorable,60.928414
51,Cat,Intimidating,92.181507
99,Cat,Neutral,91.645871
69,Cat,Neutral,85.856237
25,Cat,Neutral,92.139253
87,Cat,Adorable,96.44811
108,Dog,Adorable,72.937939
11,Cat,Adorable,92.417985
81,Cat,Intimidating,93.681743
85,Dog,Neutral,76.364655
116,Dog,Intimidating,84.158557
55,Cat,Intimidating,89.260997
44,Dog,Intimidating,80.718821
101,Cat,Neutral,91.43808
76,Cat,Adorable,91.947136
77,Cat,Adorable,79.111932
109,Dog,Adorable,76.172423
21,Dog,Neutral,81.175328
103,Dog,Intimidating,97.175046
13,Dog,Adorable,72.597854
6,Dog,Neutral,80.979424
64,Cat,Adorable,90.462842
3,Cat,Intimidating,89.20226
39,Dog,Neutral,80.535114
43,Dog,Adorable,78.382461
118,Dog,Adorable,79.511832
47,Dog,Intimidating,100.00751
100,Cat,Adorable,88.876907
91,Cat,Adorable,93.155654
53,Dog,Neutral,72.725854
19,Dog,Intimidating,87.281345
16,Dog,Intimidating,91.664319
79,Dog,Adorable,71.738657
61,Cat,Adorable,83.932396
27,Cat,Intimidating,92.441223
1,Cat,Intimidating,91.143354
36,Dog,Intimidating,81.062891
113,Cat,Adorable,99.940112
38,Cat,Neutral,81.946137
58,Cat,Intimidating,84.275069
62,Dog,Intimidating,95.269383
26,Dog,Adorable,72.742197
90,Cat,Intimidating,95.783071
66,Dog,Neutral,88.563864
20,Dog,Intimidating,91.575725
30,Dog,Adorable,72.364649
97,Cat,Adorable,91.244922
34,Cat,Intimidating,92.006921
84,Dog,Intimidating,84.662602
33,Cat,Neutral,96.208804
68,Dog,Adorable,72.161177
45,Dog,Adorable,70.010645
98,Dog,Adorable,83.934984
7,Cat,Adorable,93.791779
93,Cat,Intimidating,99.768543
54,Dog,Adorable,81.606411
70,Dog,Neutral,86.718986
96,Cat,Neutral,92.335324
110,Dog,Adorable,78.850772
42,Cat,Intimidating,89.976497
59,Cat,Intimidating,82.48456
41,Cat,Adorable,93.298271
22,Cat,Intimidating,85.327034
72,Dog,Adorable,54.56899
86,Cat,Neutral,91.432395
40,Cat,Neutral,90.834196
10,Cat,Neutral,86.084425
23,Dog,Intimidating,86.91342
46,Cat,Adorable,99.347175
32,Dog,Neutral,82.056907
8,Dog,Adorable,73.797416
119,Dog,Neutral,71.735333
31,Dog,Intimidating,92.143975
95,Dog,Adorable,71.560618
115,Dog,Adorable,75.223727
37,Cat,Adorable,93.869375
104,Cat,Neutral,92.416431
4,Cat,Intimidating,93.65158
15,Dog,Neutral,81.690261
57,Cat,Neutral,84.462265
80,Dog,Intimidating,87.048869
65,Dog,Neutral,79.79718
9,Dog,Neutral,79.605391
63,Dog,Neutral,84.24005
