animal_id,enclosure_id,environment,cortisol
1,39,Enriched,15.301
2,57,High-Density,21.302
3,8,High-Density,19.21
4,47,High-Density,18.219
5,7,High-Density,19.395
6,18,High-Density,16.751
7,25,High-Density,14.748
8,24,High-Density,16.498
9,34,High-Density,21.222
10,31,Enriched,17.475
11,62,Enriched,13.487
12,5,Enriched,14.448
13,16,High-Density,14.9
14,28,High-Density,11.921
15,15,Enriched,15.688
16,63,Enriched,16.888
17,49,High-Density,17.55
18,52,Enriched,16.667
19,33,Enriched,15.311
20,21,High-Density,16.119
21,3,High-Density,18.619
22,40,Enriched,15.335
23,30,Enriched,17.025
24,64,Enriched,18.231
25,1,High-Density,11.997
26,22,High-Density,16.625
27,4,Enriched,16.723
28,55,Enriched,14.467
29,37,Enriched,14.291
30,20,Enriched,14.177
31,46,High-Density,18.504
32,53,Enriched,11.192
33,2,Enriched,14.943
34,48,High-Density,20.612
35,51,High-Density,15.387
36,23,Enriched,15.108
37,14,Enriched,13.374
38,13,Enriched,14.128
39,58,Enriched,15.621
40,65,High-Density,15.217
41,56,High-Density,15.68
42,36,High-Density,15.092
43,9,High-Density,14.612
44,61,Enriched,14.377
45,32,Enriched,15.421
46,11,Enriched,15.55
47,10,Enriched,13.002
48,59,Enriched,12.558
49,44,High-Density,13.502
50,54,Enriched,17.47
51,50,Enriched,11.966
52,27,High-Density,13.942
53,42,High-Density,17.749
54,35,Enriched,16.509
55,26,Enriched,14.045
56,45,Enriched,13.948
57,6,Enriched,15.413
58,43,Enriched,16.229
59,12,High-Density,17.219
60,38,Enriched,14.108
61,41,Enriched,14.948
62,19,High-Density,15.63
63,60,High-Density,19.794
64,29,High-Density,20.642
65,17,Enriched,14.779
