rownames,title,book_id,author,date,year,removed,explicit,antifamily,occult,language,lgbtq,violent,state,political_value_index,median_income,hs_grad_rate,college_grad_rate
1,"House of the Spirits, The",927,"Allende, Isabel",2005-04-01,2005,0,1,0,1,1,1,1,AK,-13.4,15707.5,8.738042131,0.6762701363
2,"It's Not the Stork!:  A Book About Girls, Boys, Babies and Bodies",1024,"Harris, Robie",2008-02-06,2008,1,0,0,0,0,0,0,AK,-13.4,15707.5,8.738042131,0.6762701363
3,King Stork,1087,"Pyle, Howard",2008-10-02,2008,0,0,0,0,0,0,1,AK,-13.4,15707.5,8.738042131,0.6762701363
4,How They Met and Other Stories,936,"Levithan, David",2008-10-05,2008,0,0,0,0,0,0,0,AK,-13.4,15707.5,8.738042131,0.6762701363
5,Ghost in the Shell,764,"Masamune, Shirow",2008-10-02,2008,0,0,0,0,0,0,0,AK,-13.4,15707.5,8.738042131,0.6762701363
6,King Stork,1087,"Pyle, Howard",2003-09-13,2003,0,0,0,0,0,0,1,AK,-13.4,15707.5,8.738042131,0.6762701363
7,Queer,1489,"Gage, Simon",2003-09-13,2003,0,0,0,0,0,1,0,AK,-13.4,15707.5,8.738042131,0.6762701363
8,Witness,2023,"Hesse, Karen",2003-09-13,2003,0,0,0,0,0,0,0,AK,-13.4,15707.5,8.738042131,0.6762701363
9,It's Perfectly Normal,1025,"Harris, Robie",2001-12-22,2001,0,1,0,0,0,0,0,AK,-13.4,15707.5,8.738042131,0.6762701363
10,"Brimstone Journals, The",318,"Koertge, Ron",2006-01-30,2006,1,0,1,0,1,1,1,AL,-13.2,-5054,-4.261957869,-5.023729864
11,When She Was Good,1972,"Mazer, Norma Fox",2008-11-14,2008,0,1,0,0,1,0,1,AL,-13.2,-5054,-4.261957869,-5.023729864
12,Whale Talk,1941,"Crutcher, Chris",2005-06-09,2005,1,0,0,0,1,0,0,AL,-13.2,-5054,-4.261957869,-5.023729864
13,In the Break,988,"Lopez, Jack",2009-12-05,2009,1,0,0,0,1,0,0,AL,-13.2,-5054,-4.261957869,-5.023729864
14,Abduction,63,"Kehret, Peg",2008-11-14,2008,0,0,0,0,0,0,0,AL,-13.2,-5054,-4.261957869,-5.023729864
15,Bling Bling:  Hip Hop's Crown Jewels,255,"Oh, Minya",2008-11-14,2008,1,0,0,0,1,0,0,AL,-13.2,-5054,-4.261957869,-5.023729864
16,Whale Talk,1941,"Crutcher, Chris",2005-04-08,2005,1,0,0,0,1,0,0,AL,-13.2,-5054,-4.261957869,-5.023729864
17,Kira-Kira,1088,"Kadohata, Cynthia",2008-11-14,2008,0,0,0,0,1,0,0,AL,-13.2,-5054,-4.261957869,-5.023729864
18,Sandpiper,1568,"Wittlinger, Ellen",2008-10-10,2008,0,1,0,0,0,0,0,AL,-13.2,-5054,-4.261957869,-5.023729864
19,I Know Why the Caged Bird Sings,958,"Angelou, Maya",2001-04-25,2001,0,1,0,0,0,0,0,AL,-13.2,-5054,-4.261957869,-5.023729864
20,"White Mercedes, The",1984,"Pullman, Philip",2001-11-21,2001,0,1,0,0,1,0,0,AR,-8.8,-6258.5,-4.261957869,-7.323729864
21,Harry Potter (series),868,"Rowling, J.K.",2000-11-21,2000,0,0,0,1,0,0,1,AR,-8.8,-6258.5,-4.261957869,-7.323729864
22,Baby Alicia is Dying,178,"McDaniel, Lurlene",2008-10-02,2008,0,0,0,0,0,0,0,AR,-8.8,-6258.5,-4.261957869,-7.323729864
23,Summer of My German Soldier,1739,"Greene, Bette",2002-04-08,2002,0,0,0,0,1,0,0,AR,-8.8,-6258.5,-4.261957869,-7.323729864
24,Summer of My German Soldier,1739,"Greene, Bette",2001-04-25,2001,0,0,0,0,1,0,0,AR,-8.8,-6258.5,-4.261957869,-7.323729864
25,When She Hollers,1971,"Voight, Cynthia",2007-10-09,2007,1,0,0,0,1,0,1,AZ,-6.1,3490.5,1.438042131,-0.5237298637
26,Speak,1684,"Anderson, Laurie Halse",2001-04-25,2001,1,1,0,0,1,0,1,AZ,-6.1,3490.5,1.438042131,-0.5237298637
27,What My Mother Doesn’t Know,1951,"Sones, Sonya",2004-10-14,2004,0,0,0,0,1,0,0,AZ,-6.1,3490.5,1.438042131,-0.5237298637
28,Finding Our Way--The Teen Girl Survival Guide,695,"Abner, Allison",2002-05-21,2002,0,1,0,0,0,0,0,AZ,-6.1,3490.5,1.438042131,-0.5237298637
29,Deal With It!,516,"Drill, Esther",2004-12-05,2004,1,1,0,0,0,0,0,AZ,-6.1,3490.5,1.438042131,-0.5237298637
30,1984,6,"Orwell, George",2002-04-27,2002,1,1,0,0,0,0,0,AZ,-6.1,3490.5,1.438042131,-0.5237298637
31,Yu Yu Hakusho (series),2057,"Togashi, Yoshihiro",2008-11-14,2008,0,1,0,0,0,0,1,AZ,-6.1,3490.5,1.438042131,-0.5237298637
32,Alice on the Outside,101,"Naylor, Phyllis Reynolds",2003-12-26,2003,0,1,0,0,0,0,0,AZ,-6.1,3490.5,1.438042131,-0.5237298637
33,Bastard Out of Carolina,196,"Allison, Dorothy",2002-09-09,2002,1,1,0,0,0,0,0,AZ,-6.1,3490.5,1.438042131,-0.5237298637
34,Sahara Special,1559,"Codell, Esme Rajo",2010-02-02,2010,0,0,0,0,1,0,0,AZ,-6.1,3490.5,1.438042131,-0.5237298637
35,Snuff,1660,"Palahniuk, Chuck",2008-11-14,2008,0,0,0,0,0,0,0,AZ,-6.1,3490.5,1.438042131,-0.5237298637
36,Arming America,158,"Bellesiles, Michael",2006-08-15,2006,0,0,0,0,0,0,0,AZ,-6.1,3490.5,1.438042131,-0.5237298637
37,Always Running,118,"Rodriguez, Luis",2004-09-01,2004,1,1,1,0,1,0,1,CA,7.4,10119,-2.761957869,2.576270136
38,"Angus, Thongs, and Full Frontal Snogging",148,"Rennison, Louise",2005-04-01,2005,0,1,1,0,1,0,0,CA,7.4,10119,-2.761957869,2.576270136
39,Goddesses: A World of Myth and Magic,727,"Muten, Burleigh",2004-08-24,2004,1,0,0,1,0,0,0,CA,7.4,10119,-2.761957869,2.576270136
40,Grl2grl,759,"Peters, Julie Anne",2009-08-09,2009,0,1,0,0,0,1,0,CA,7.4,10119,-2.761957869,2.576270136
41,Molly's Family,1275,"Garden, Nancy",2008-10-05,2008,0,0,1,0,0,1,0,CA,7.4,10119,-2.761957869,2.576270136
