subject,condition,values
121,A,709.3
42,A,626
70,A,280.94
145,B,477.6
134,A,388.77
139,B,465.5
219,A,400.75
68,A,511.83
18,A,641.15
29,B,466.6
109,B,483.03
185,A,563.91
164,A,385.06
138,B,543.86
92,B,480.59
94,B,494.37
149,B,541.43
217,B,445.44
103,B,489.46
136,B,450.97
115,A,463.92
34,A,514.09
191,B,503.72
151,B,471.87
192,B,475.68
31,B,526.8
132,B,498.99
26,A,373.27
89,B,469.65
256,A,612.46
201,B,493.92
193,B,593.49
255,A,473.89
181,B,454.93
110,B,478.7
221,B,523.72
187,A,635.8
111,B,530.47
1,A,552.49
129,B,502.2
78,A,616.53
81,A,348.22
7,A,691.98
38,B,451.08
47,A,576.9
90,B,533.65
247,A,459.38
208,A,492.34
196,A,574.9
35,B,490.64
28,B,500.26
147,A,389.43
73,B,454.11
21,B,488.18
74,A,531.59
162,B,493.58
6,B,547.88
167,B,477.65
112,B,453.74
104,B,585.85
223,B,448.56
131,A,496.21
213,A,859.01
36,B,534.54
25,B,490.57
86,B,451.94
242,A,410.98
102,A,510.81
257,A,472.26
75,B,444.14
79,A,733.87
186,A,520.7
76,A,468.53
54,B,446.3
85,A,544.42
234,B,499.07
15,B,522.26
14,A,724.63
154,B,510.04
4,A,350.1
37,A,546.32
212,B,461.12
105,B,455.22
46,B,479.51
244,A,573.21
24,B,488.43
250,B,628.91
116,B,485.28
227,A,513.27
69,B,459.22
161,B,506.18
40,A,375.28
87,A,441.1
168,B,488.62
203,B,504.08
198,A,646.72
171,B,472.46
58,B,524.34
148,B,463.51
48,B,501.09
156,A,186.26
57,B,473.92
158,B,572.06
13,B,468.6
222,B,503.96
174,A,592.08
100,A,564.66
114,A,711.8
16,A,749.75
20,A,527.45
182,A,577.12
59,B,446.32
80,A,638.65
61,A,695.84
49,A,418.99
233,A,563.96
249,A,442.61
228,A,748.26
178,B,564.78
17,B,532.88
95,A,600.87
140,B,681.38
122,B,575.52
118,B,457.71
101,A,502.41
253,A,714.93
124,B,502.23
19,B,446.68
39,B,443.15
33,B,441.2
22,B,511.3
159,A,463.48
30,A,695.62
96,B,557.97
260,A,467.96
254,A,637.45
241,B,495.94
99,A,771.41
230,B,522.47
180,B,447.23
88,A,569.9
91,A,727.89
183,B,515.97
195,B,473.97
51,B,438.79
62,A,525.9
127,B,475.31
106,B,501.65
220,B,502.45
152,B,522.96
108,B,449.07
238,B,451.93
11,A,489.78
63,A,320.39
82,A,519.01
66,B,527.03
2,A,401.16
184,B,458.68
197,B,518.36
144,B,457.38
45,B,534.97
55,B,480.74
137,B,456.72
251,B,546.81
261,A,627.8
65,A,378.58
206,A,488.25
245,A,419.56
84,A,324.08
52,B,460.58
248,A,599.03
218,A,638.96
125,B,464
72,A,468.89
9,B,510.6
202,B,478.62
43,B,453.95
170,A,514.15
53,A,442.19
243,B,466.26
64,A,618.85
3,B,456.54
226,B,502.15
235,B,468.57
205,A,557.56
172,A,422.73
169,B,502.41
188,B,509.51
44,A,544
117,B,464.12
240,A,480.08
165,A,453.92
190,A,489.53
119,B,475.31
232,A,700.02
209,B,492.92
128,A,530.3
176,B,597.86
5,A,349.1
153,B,450.97
175,A,320.69
41,B,443.89
130,B,455.05
259,B,459.93
12,B,566.32
199,A,510.94
126,B,453.51
224,B,481.85
113,A,552.03
120,B,508.24
8,B,517.29
98,B,516.14
23,A,685.94
77,A,473.42
163,A,482.7
97,B,566.48
83,A,477.82
155,A,668.12
189,B,508.42
194,B,463.26
207,B,446.17
135,A,477.49
236,B,471.39
173,A,562.74
141,B,468.49
150,B,459.88
32,A,367.88
229,A,360.24
231,A,550.93
71,A,538.12
177,B,468.38
216,B,498.67
211,A,411.22
200,A,684.05
133,A,552.8
146,B,529.63
239,A,408.61
50,B,458.83
214,B,566.12
56,A,649.74
179,A,522.46
123,B,487.71
157,A,558.09
107,B,512.02
204,B,490.15
160,B,453.45
252,B,453.69
142,B,496.02
258,A,453.94
143,A,315.41
246,A,386.77
215,B,509.92
27,A,549.89
210,B,466.81
67,B,462.29
225,B,478.59
237,B,439.21
93,B,443.57
60,B,553.92
10,A,407.6
166,B,544.29
