Subject,A,B
1,49.84,49.93
2,48.91,50.82
3,48.67,47.99
4,49.9,49.72
5,48.69,48.75
6,50.43,49.09
7,49.96,51.52
8,53.15,48.84
9,49.57,49.73
10,49.6,49.5
11,49.37,48.52
12,49.4,51.06
13,51.51,49.7
14,48.76,49.49
15,49.46,50.56
16,50.96,51.2
17,49.88,50.58
18,50.4,49.88
19,48.89,49.73
20,50.39,50.53
21,50.67,48.41
22,50.06,50.04
23,49.73,48.93
24,47.51,51
25,50.44,50.57
26,49.11,51.5
27,50.93,49.05
28,48.87,50.81
29,49.01,49.49
30,48.88,51.53
31,50.13,48.62
32,51.96,48.17
33,50.1,49.76
34,50.1,52.46
35,48.24,52.33
