Subject,A,B
1,28.27,49.87
2,27.92,48.55
3,27.88,48.68
4,28.5,49.31
5,28.35,48.11
6,26.87,47.84
7,26.52,47.17
8,26.4,48.21
9,26.75,47.71
10,28.72,49.89
11,27.7,49.31
12,27.66,48.78
13,27.38,48.1
14,28.89,49.43
15,29.17,49.08
16,25.91,47.01
17,27.73,49.4
18,27.71,48.27
19,27.5,48.81
20,27.02,48.3
21,28.39,48.93
22,24.97,46.65
23,25.77,46.29
24,26.72,47.1
25,29.39,49.56
26,26.62,48.65
27,27.12,47.8
28,28.25,48.84
29,28.43,48.28
30,28.28,48.81
31,26,47.69
32,27.78,48.54
33,27.1,48.7
34,27.94,47.74
35,27.4,48.16
36,25.95,46.39
37,27.51,48.78
38,27.08,48.76
39,27.72,48.66
40,24.8,46.37
41,26.29,47.54
42,28.03,49.54
43,26.54,47.28
44,27.8,48.83
45,27.2,49.75
46,26.82,48.7
47,28.85,49.31
48,27.43,48.27
49,26.71,47.69
50,27.58,48.19
51,26.72,48.26
52,28.28,49.21
53,27.6,47.93
54,28.5,49.77
55,29.21,50.02
56,25.78,46.94
57,27.05,48.7
58,25.35,46.61
59,27.09,47.62
60,27.73,48.51
61,29.3,50.06
62,30.03,49.89
63,28.8,49.82
64,28.88,49.72
65,26.09,47.03
66,29.49,50.53
67,27.21,48.67
68,27.63,49.4
69,28.36,48.65
70,28.54,48.79
71,26.07,48.18
72,27.32,48.06
73,27.55,49.91
74,28.07,49.9
75,28.51,49.84
76,28.28,50
77,29.9,49.42
78,28.33,49.45
79,26.62,47.76
80,27.52,49
81,27.73,49.03
82,25.79,47.24
83,29.51,50.14
84,27.71,47.48
85,28.01,50.06
86,26.44,46.92
87,27.43,48.26
88,29.28,49.39
89,27.99,49.37
90,26.8,48.25
91,27.1,47.64
92,27.61,47.72
93,26.35,48.73
94,25.91,47.12
95,27.44,48.38
96,27.55,49.2
97,27.07,47.85
98,28.45,49.75
99,25.75,47.02
100,27.57,47.92
101,26.63,47.97
102,26.79,48.33
103,28.66,49.88
104,25.95,48.73
105,27.64,48.39
106,25.72,46.35
107,26.86,47.95
108,26.11,48.28
109,27.49,48.82
110,28.26,49.57
111,25.73,47.17
112,26.71,47.93
113,27.79,48.61
114,27.34,48.43
115,27.62,47.89
116,26.94,48.25
117,27.7,49.21
118,26.99,47.51
119,28.99,49.78
120,28.54,49.41
121,29.25,49.51
122,28.34,48.17
123,26.7,46.66
124,29.36,50.16
125,27.2,49.15
126,26.17,46.02
127,27.18,48.2
128,27.36,47.85
129,27.92,49.59
130,28.31,49.44
131,26.96,48.11
132,27.13,47.84
133,29.09,50.39
134,28.03,48.78
135,27.21,49.97
136,27.14,48.09
137,27.46,48.27
138,28.24,49.33
139,26.64,47.31
140,28.7,49.59
141,28.49,49.71
142,28.64,48.79
143,25.81,47.75
144,25.31,47.56
145,28.24,48.14
146,29.35,49.57
147,28.2,48.74
148,27.39,47.69
149,27.27,48.06
150,27.57,46.93
151,26.2,47.76
152,26.56,48.25
153,28.66,49.45
154,27.62,48.42
155,26.52,48.97
156,29.11,50.88
157,27.31,47.26
158,27.54,48.56
159,26.4,47.21
160,27.85,48.49
161,26.64,47.13
162,28.97,49.95
163,27.33,48.99
164,28.31,48.17
165,26.92,47.87
166,27.58,48.57
167,28.41,48.54
168,28.39,50.09
169,28.19,48.17
170,28.24,48.9
171,25.86,46.93
172,25.61,46.97
173,27.92,49.28
174,26.97,48.61
175,26.26,47.89
176,28.41,49.87
177,25.76,48.14
178,26.94,48.01
179,29.33,49.52
180,28.67,48.33
181,27.23,47.03
182,27.08,48.76
183,27.1,49.68
184,27.52,48.74
185,27.8,49.55
186,28.06,48.61
187,28.82,48.87
188,26.19,45.36
189,26.36,47.94
190,28.7,48.99
191,26.8,48.24
192,28.54,49.61
193,26.87,49.3
194,25.6,47.74
195,26.69,48.34
196,27.5,48.85
197,26.6,48.44
198,27.26,49.25
199,27.91,47.12
200,26.98,48.45
201,27.23,48.5
202,27.84,49.21
203,26.06,45.44
204,27.52,49.73
205,27.92,48.38
206,26.01,47.91
207,28.86,49.48
208,27.51,49.17
209,28.35,48.38
210,27.5,48.74
211,27.48,48.03
212,26.84,46.86
213,27.54,48.69
214,29.66,50.39
215,27.02,48.37
216,27.01,48.42
217,28.74,49.29
218,27.48,48.69
219,29.21,49.11
220,27.75,48.6
221,28.02,48.68
222,26.72,47.89
223,28.73,49.51
224,28.18,49.05
225,27.98,49.36
226,25.76,46.21
227,26.74,48.57
228,28.49,49.2
229,26.8,46.47
230,27.52,48.71
231,27.35,49
232,27.52,48.1
233,27.16,47.94
234,28.52,50
235,26.52,46.49
236,28.52,50.07
237,29.58,49.58
238,26.07,46.26
239,27.43,48.02
240,27.75,48.94
241,27.97,48.23
242,27.73,48.48
243,27.45,48.24
244,27.1,48.85
245,28.46,49.06
246,28.62,48.87
247,26.18,46.93
248,28.67,49.92
249,26.84,47.45
250,27.48,48.58
251,28.03,48.43
252,26.76,47.77
253,28.26,48.48
254,27.72,49.56
255,26.21,47.55
256,28.67,48.56
257,27.48,47.83
258,28.26,49.52
259,28.12,49.17
260,27.43,48.48
261,27.49,49.42
262,28.11,48.4
263,28.9,49.12
264,28.2,48.56
265,26.14,47.08
