id,light_lvl,wpm,fct_lvl
1,Dim,153,1
1,Moderate,190,2
1,Clear,189,3
1,Brilliant,177,4
2,Dim,115,1
2,Moderate,100,2
2,Clear,91,3
2,Brilliant,121,4
3,Dim,68,1
3,Moderate,86,2
3,Clear,96,3
3,Brilliant,119,4
4,Dim,125,1
4,Moderate,164,2
4,Clear,174,3
4,Brilliant,227,4
5,Dim,167,1
5,Moderate,152,2
5,Clear,160,3
5,Brilliant,155,4
6,Dim,138,1
6,Moderate,132,2
6,Clear,180,3
6,Brilliant,161,4
7,Dim,169,1
7,Moderate,155,2
7,Clear,184,3
7,Brilliant,200,4
8,Dim,156,1
8,Moderate,203,2
8,Clear,208,3
8,Brilliant,188,4
9,Dim,146,1
9,Moderate,155,2
9,Clear,175,3
9,Brilliant,216,4
10,Dim,188,1
10,Moderate,238,2
10,Clear,229,3
10,Brilliant,243,4
11,Dim,191,1
11,Moderate,175,2
11,Clear,212,3
11,Brilliant,197,4
12,Dim,146,1
12,Moderate,150,2
12,Clear,181,3
12,Brilliant,183,4
13,Dim,116,1
13,Moderate,142,2
13,Clear,143,3
13,Brilliant,158,4
14,Dim,100,1
14,Moderate,149,2
14,Clear,150,3
14,Brilliant,190,4
15,Dim,176,1
15,Moderate,195,2
15,Clear,215,3
15,Brilliant,225,4
16,Dim,207,1
16,Moderate,183,2
16,Clear,198,3
16,Brilliant,221,4
17,Dim,204,1
17,Moderate,226,2
17,Clear,226,3
17,Brilliant,266,4
18,Dim,135,1
18,Moderate,147,2
18,Clear,160,3
18,Brilliant,173,4
19,Dim,119,1
19,Moderate,127,2
19,Clear,136,3
19,Brilliant,120,4
20,Dim,169,1
20,Moderate,128,2
20,Clear,170,3
20,Brilliant,136,4
21,Dim,167,1
21,Moderate,205,2
21,Clear,197,3
21,Brilliant,214,4
22,Dim,189,1
22,Moderate,212,2
22,Clear,195,3
22,Brilliant,257,4
23,Dim,161,1
23,Moderate,210,2
23,Clear,207,3
23,Brilliant,204,4
24,Dim,217,1
24,Moderate,208,2
24,Clear,201,3
24,Brilliant,224,4
25,Dim,125,1
25,Moderate,150,2
25,Clear,123,3
25,Brilliant,149,4
26,Dim,162,1
26,Moderate,201,2
26,Clear,220,3
26,Brilliant,227,4
27,Dim,177,1
27,Moderate,175,2
27,Clear,191,3
27,Brilliant,232,4
28,Dim,180,1
28,Moderate,228,2
28,Clear,210,3
28,Brilliant,229,4
29,Dim,173,1
29,Moderate,159,2
29,Clear,195,3
29,Brilliant,211,4
30,Dim,215,1
30,Moderate,240,2
30,Clear,260,3
30,Brilliant,288,4
31,Dim,177,1
31,Moderate,208,2
31,Clear,214,3
31,Brilliant,254,4
32,Dim,111,1
32,Moderate,142,2
32,Clear,156,3
32,Brilliant,174,4
33,Dim,103,1
33,Moderate,107,2
33,Clear,157,3
33,Brilliant,146,4
34,Dim,124,1
34,Moderate,162,2
34,Clear,163,3
34,Brilliant,172,4
35,Dim,113,1
35,Moderate,139,2
35,Clear,166,3
35,Brilliant,129,4
36,Dim,131,1
36,Moderate,166,2
36,Clear,146,3
36,Brilliant,193,4
