id,light_lvl,text_diff,wpm
1,Dim,Easy,168
1,Dim,Medium,175
1,Dim,Hard,129
1,Moderate,Easy,172
1,Moderate,Medium,186
1,Moderate,Hard,125
1,Clear,Easy,167
1,Clear,Medium,167
1,Clear,Hard,141
1,Brilliant,Easy,204
1,Brilliant,Medium,179
1,Brilliant,Hard,177
2,Dim,Easy,97
2,Dim,Medium,105
2,Dim,Hard,70
2,Moderate,Easy,178
2,Moderate,Medium,144
2,Moderate,Hard,84
2,Clear,Easy,142
2,Clear,Medium,107
2,Clear,Hard,108
2,Brilliant,Easy,148
2,Brilliant,Medium,160
2,Brilliant,Hard,117
3,Dim,Easy,121
3,Dim,Medium,77
3,Dim,Hard,62
3,Moderate,Easy,132
3,Moderate,Medium,86
3,Moderate,Hard,89
3,Clear,Easy,143
3,Clear,Medium,94
3,Clear,Hard,66
3,Brilliant,Easy,121
3,Brilliant,Medium,105
3,Brilliant,Hard,121
4,Dim,Easy,160
4,Dim,Medium,180
4,Dim,Hard,127
4,Moderate,Easy,195
4,Moderate,Medium,171
4,Moderate,Hard,110
4,Clear,Easy,198
4,Clear,Medium,153
4,Clear,Hard,142
4,Brilliant,Easy,192
4,Brilliant,Medium,187
4,Brilliant,Hard,164
5,Dim,Easy,137
5,Dim,Medium,132
5,Dim,Hard,88
5,Moderate,Easy,158
5,Moderate,Medium,119
5,Moderate,Hard,123
5,Clear,Easy,174
5,Clear,Medium,184
5,Clear,Hard,135
5,Brilliant,Easy,200
5,Brilliant,Medium,185
5,Brilliant,Hard,170
6,Dim,Easy,167
6,Dim,Medium,112
6,Dim,Hard,83
6,Moderate,Easy,160
6,Moderate,Medium,132
6,Moderate,Hard,110
6,Clear,Easy,160
6,Clear,Medium,170
6,Clear,Hard,121
6,Brilliant,Easy,178
6,Brilliant,Medium,157
6,Brilliant,Hard,144
7,Dim,Easy,170
7,Dim,Medium,148
7,Dim,Hard,112
7,Moderate,Easy,151
7,Moderate,Medium,198
7,Moderate,Hard,113
7,Clear,Easy,204
7,Clear,Medium,141
7,Clear,Hard,130
7,Brilliant,Easy,213
7,Brilliant,Medium,170
7,Brilliant,Hard,162
8,Dim,Easy,182
8,Dim,Medium,176
8,Dim,Hard,114
8,Moderate,Easy,230
8,Moderate,Medium,171
8,Moderate,Hard,174
8,Clear,Easy,221
8,Clear,Medium,188
8,Clear,Hard,202
8,Brilliant,Easy,237
8,Brilliant,Medium,196
8,Brilliant,Hard,194
9,Dim,Easy,180
9,Dim,Medium,175
9,Dim,Hard,104
9,Moderate,Easy,184
9,Moderate,Medium,158
9,Moderate,Hard,153
9,Clear,Easy,221
9,Clear,Medium,198
9,Clear,Hard,160
9,Brilliant,Easy,203
9,Brilliant,Medium,184
9,Brilliant,Hard,200
10,Dim,Easy,187
10,Dim,Medium,205
10,Dim,Hard,142
10,Moderate,Easy,216
10,Moderate,Medium,206
10,Moderate,Hard,147
10,Clear,Easy,233
10,Clear,Medium,219
10,Clear,Hard,180
10,Brilliant,Easy,250
10,Brilliant,Medium,234
10,Brilliant,Hard,237
11,Dim,Easy,181
11,Dim,Medium,182
11,Dim,Hard,143
11,Moderate,Easy,238
11,Moderate,Medium,161
11,Moderate,Hard,148
11,Clear,Easy,211
11,Clear,Medium,200
11,Clear,Hard,163
11,Brilliant,Easy,212
11,Brilliant,Medium,227
11,Brilliant,Hard,191
12,Dim,Easy,153
12,Dim,Medium,161
12,Dim,Hard,117
12,Moderate,Easy,181
12,Moderate,Medium,151
12,Moderate,Hard,132
12,Clear,Easy,210
12,Clear,Medium,142
12,Clear,Hard,135
12,Brilliant,Easy,216
12,Brilliant,Medium,160
12,Brilliant,Hard,183
13,Dim,Easy,172
13,Dim,Medium,99
13,Dim,Hard,108
13,Moderate,Easy,163
13,Moderate,Medium,170
13,Moderate,Hard,124
13,Clear,Easy,198
13,Clear,Medium,157
13,Clear,Hard,140
13,Brilliant,Easy,231
13,Brilliant,Medium,186
13,Brilliant,Hard,146
14,Dim,Easy,145
14,Dim,Medium,130
14,Dim,Hard,110
14,Moderate,Easy,153
14,Moderate,Medium,176
14,Moderate,Hard,96
14,Clear,Easy,163
14,Clear,Medium,174
14,Clear,Hard,133
14,Brilliant,Easy,212
14,Brilliant,Medium,197
14,Brilliant,Hard,156
15,Dim,Easy,200
15,Dim,Medium,174
15,Dim,Hard,140
15,Moderate,Easy,218
15,Moderate,Medium,188
15,Moderate,Hard,152
15,Clear,Easy,256
15,Clear,Medium,209
15,Clear,Hard,190
15,Brilliant,Easy,200
15,Brilliant,Medium,208
15,Brilliant,Hard,179
16,Dim,Easy,189
16,Dim,Medium,185
16,Dim,Hard,171
16,Moderate,Easy,230
16,Moderate,Medium,183
16,Moderate,Hard,176
16,Clear,Easy,235
16,Clear,Medium,212
16,Clear,Hard,191
16,Brilliant,Easy,263
16,Brilliant,Medium,207
16,Brilliant,Hard,189
17,Dim,Easy,244
17,Dim,Medium,212
17,Dim,Hard,189
17,Moderate,Easy,284
17,Moderate,Medium,263
17,Moderate,Hard,212
17,Clear,Easy,238
17,Clear,Medium,250
17,Clear,Hard,232
17,Brilliant,Easy,271
17,Brilliant,Medium,234
17,Brilliant,Hard,224
18,Dim,Easy,156
18,Dim,Medium,153
18,Dim,Hard,124
18,Moderate,Easy,184
18,Moderate,Medium,137
18,Moderate,Hard,114
18,Clear,Easy,188
18,Clear,Medium,155
18,Clear,Hard,143
18,Brilliant,Easy,183
18,Brilliant,Medium,193
18,Brilliant,Hard,164
19,Dim,Easy,115
19,Dim,Medium,109
19,Dim,Hard,95
19,Moderate,Easy,139
19,Moderate,Medium,116
19,Moderate,Hard,71
19,Clear,Easy,180
19,Clear,Medium,135
19,Clear,Hard,110
19,Brilliant,Easy,163
19,Brilliant,Medium,148
19,Brilliant,Hard,133
20,Dim,Easy,159
20,Dim,Medium,122
20,Dim,Hard,88
20,Moderate,Easy,180
20,Moderate,Medium,153
20,Moderate,Hard,132
20,Clear,Easy,197
20,Clear,Medium,168
20,Clear,Hard,114
20,Brilliant,Easy,149
20,Brilliant,Medium,144
20,Brilliant,Hard,156
21,Dim,Easy,198
21,Dim,Medium,193
21,Dim,Hard,133
21,Moderate,Easy,213
21,Moderate,Medium,207
21,Moderate,Hard,180
21,Clear,Easy,246
21,Clear,Medium,201
21,Clear,Hard,190
21,Brilliant,Easy,236
21,Brilliant,Medium,211
21,Brilliant,Hard,206
22,Dim,Easy,194
22,Dim,Medium,166
22,Dim,Hard,166
22,Moderate,Easy,222
22,Moderate,Medium,218
22,Moderate,Hard,171
22,Clear,Easy,242
22,Clear,Medium,230
22,Clear,Hard,166
