student,score
1,90.3323
2,96.0013
3,107.5786
4,106.8239
5,116.6276
6,96.8427
7,83.0898
8,91.4065
9,89.9603
10,103.3015
11,88.175
12,104.0947
13,107.1742
14,100.8192
15,104.0943
16,93.4511
17,107.9765
18,101.6561
19,93.9091
20,104.8217
21,95.7471
22,102.4461
23,117.4149
24,59.2554
25,109.32
26,101.1913
27,130.4268
28,93.2202
29,161.2379
30,90.8042
31,111.8388
32,97.8683
33,82.8403
34,102.6337
35,98.9909
36,100.5215
37,105.501
38,97.2103
39,91.8164
40,97.4291
41,113.0752
42,91.9633
43,102.0763
44,84.6674
45,98.0237
46,98.201
47,108.277
48,93.4132
49,218.0304
50,78.3142
51,100.4605
52,107.4048
53,94.964
54,117.0718
55,88.7345
56,126.6648
57,80.5505
58,98.9947
59,112.9545
60,131.5214
61,111.4403
62,118.7769
63,100.6912
64,98.3191
65,110.1567
66,95.7272
67,92.2341
68,101.928
69,97.1553
70,110.7481
71,118.9553
72,93.6684
73,86.0414
74,102.8075
75,110.4495
76,92.3867
77,104.6111
78,111.6237
79,110.4688
80,99.4183
81,99.4747
82,74.1
83,93.5976
84,102.2776
85,114.7307
86,98.6226
87,103.1454
88,102.857
89,106.3637
90,81.8271
91,107.488
92,94.4969
93,76.03
94,97.0973
95,86.2292
96,121.5843
97,94.083
98,111.6613
99,94.2509
100,143.4593
101,100.4149
102,118.9806
103,120.917
104,104.0271
105,87.8765
106,106.7802
107,80.3606
108,104.2358
109,89.5774
110,80.3175
111,103.2996
112,146.3972
113,97.0165
114,93.972
115,108.2894
116,86.0119
117,109.7845
118,109.7018
119,95.9005
120,102.1328
121,99.0938
122,105.3036
123,110.232
124,68.1715
125,138.3601
126,34.6228
127,58.7623
128,104.8254
129,98.2927
130,110.03
131,102.2304
132,111.435
133,93.0378
134,83.2708
135,102.8715
136,99.1725
137,0.1878
138,104.3371
139,104.4501
140,110.8221
141,103.2994
