subject,condition,values
51,A,414.99
39,B,173.78
2,A,45.88
55,A,69.21
104,A,84.69
35,B,203.13
13,B,241.16
61,B,219.83
15,A,124.24
44,B,181.86
88,B,246.05
107,A,127.81
14,B,198.22
65,B,168.41
31,A,145.01
96,A,190.17
92,B,266.86
66,A,230.44
53,A,139.34
46,B,223.27
6,A,106.29
62,A,-50.85
49,A,28.16
50,A,188.18
41,B,171.36
28,B,187.48
90,A,343.14
77,A,-1.29
1,A,326.17
54,A,186.57
19,B,187.85
16,A,54.55
23,A,349.92
72,A,110.88
93,A,244.53
60,B,189.52
102,B,270.39
43,B,217.87
89,B,183.33
63,B,200.96
59,B,209.44
40,A,168.38
34,B,209.06
103,B,225.63
37,A,200.15
69,A,218.19
105,B,212.44
56,A,214.32
97,A,63.58
87,A,90.02
79,A,106.84
91,B,196.79
20,A,254.81
80,B,221.74
11,A,99.48
45,B,211.54
17,A,185.95
30,B,233.41
82,A,141.36
47,A,33.63
27,B,147.29
4,A,300.85
74,B,158.95
67,A,217.53
85,B,202.99
99,A,144.02
75,B,186.5
73,B,180.77
38,B,171.87
109,A,171.07
57,B,154.39
52,B,190.3
25,A,-7.98
64,B,271.54
12,B,176.27
22,B,182.68
101,A,273.77
83,B,161.32
29,A,79.52
7,A,249.56
36,A,407.88
32,A,63.23
100,B,199.6
94,A,40.83
3,A,38.85
70,B,204.79
84,B,205.97
10,A,291.08
76,B,170.82
95,B,180.67
33,A,175.68
21,B,216.09
58,B,188.11
9,B,168.37
81,A,291.51
68,A,261.02
42,B,191.33
26,B,219.37
106,A,281.95
24,B,186.38
71,A,186.38
8,A,222.69
86,B,189.73
18,B,209.59
98,B,219.89
5,B,188.79
78,B,189.74
48,B,243.57
108,A,-64.8
