subject,treatment,values
177,B,24.76
138,B,-61.49
49,B,-40.7
209,B,-46.68
206,B,85.2
10,A,99.39
174,B,-8.49
95,B,43.56
235,A,85.85
231,B,-36.68
97,A,42.67
194,B,23.49
104,B,23.46
9,A,74.76
133,B,16.99
180,B,-57.04
158,B,32.96
72,A,8.32
39,B,34.47
34,B,25.35
54,B,53.63
201,B,34.89
173,B,26.43
130,A,47.17
55,A,18.84
257,B,31.96
1,B,12.54
77,A,-71.64
32,A,57.14
36,B,-3.63
101,B,33.57
250,A,-20.86
31,A,18.77
260,B,-0.23
247,A,60.02
196,A,41.25
92,A,48.82
66,B,-76.9
70,B,11.5
286,A,-3.68
212,B,19.35
110,B,0.21
243,B,-47.92
15,B,39.91
33,B,89.17
27,B,20.01
210,B,16.44
222,B,-24.68
252,A,-25.24
8,B,-4.17
82,A,12.9
143,A,39.44
262,A,0.14
59,A,-6.07
254,A,28.28
86,A,35.13
232,A,3.37
207,A,-37.29
157,A,51.97
116,B,57.11
123,B,-1.95
22,A,17.91
251,A,20.18
118,A,9.18
204,A,15.46
268,B,55.4
21,B,-19.58
216,A,24.94
245,B,51.52
56,B,33.65
137,B,-26.53
120,B,90.04
155,A,49.5
43,A,16.06
148,B,-3.66
85,A,2.63
38,B,-0.47
274,B,-44.54
271,A,29.73
200,A,23.67
108,B,-10.68
57,B,36.37
269,A,-27.95
142,A,26.57
277,B,1.78
99,B,21.48
115,B,38.77
219,A,-8.62
165,A,-26.24
278,B,58.25
71,A,-19.09
7,B,23.74
237,B,-28.28
62,A,-5.43
134,B,58.07
244,B,7.04
60,B,-9.49
89,A,48.61
30,A,24.53
113,B,65.84
80,A,69.54
42,B,24.35
17,A,-0.42
122,A,37.84
264,A,13.66
28,A,30.71
220,B,3.53
139,A,52.04
20,A,58.5
151,A,44.13
175,B,-14.35
111,A,23.45
242,A,-6.26
73,B,54.2
3,A,-1.2
146,B,23.66
202,B,-8.12
205,A,0.31
156,B,-0.49
149,A,22.25
246,A,14.17
68,B,13.18
221,A,38.12
161,A,-25.3
91,A,-0.58
185,A,8.93
107,B,9.56
84,A,19.15
69,A,-8.59
102,A,31.59
48,B,-37.71
67,A,22.43
258,B,6.41
270,A,16.58
282,A,49.25
228,A,-41
87,A,47.13
153,B,41.3
53,B,48.49
189,B,43.7
94,A,66.46
238,A,10.08
211,B,-7.37
83,B,25.74
140,A,-7.72
47,A,-14.15
241,B,19.31
168,A,-22.94
176,B,55.39
6,A,-21.31
74,B,3.58
193,A,4.81
103,B,-27.42
18,A,-42.94
109,A,25.27
160,A,-8.19
223,B,1.41
78,A,71.48
172,B,6.18
5,A,-77.75
90,B,3.78
24,A,18.21
26,B,25.96
50,B,41.07
125,B,14.79
234,B,10.09
35,B,52.05
181,B,-43.4
98,B,31.13
218,B,-7.19
121,B,-22.08
61,B,23.53
259,A,90.34
283,B,34.15
213,A,-0.52
225,B,-46.77
51,A,26.16
217,B,27.09
45,B,-72.59
136,B,28.49
230,A,-8.31
144,A,-19.23
280,A,0.29
198,A,25.71
276,A,30.43
105,A,30.65
233,A,1.52
163,B,-47.89
214,A,60.95
190,A,65.99
184,B,19.81
249,A,64.89
195,A,-44.85
131,A,27.22
154,A,71.12
255,A,42.35
12,B,15.08
170,B,10.24
178,A,100.18
117,B,-50.89
186,A,31.42
208,B,19.91
81,A,59.69
281,B,6.33
215,B,19.35
229,B,30.82
112,B,92.43
44,A,87.54
275,B,20.02
263,B,30.71
25,B,-18.61
124,B,-23.15
239,A,43.29
266,A,41.07
37,A,39.47
171,B,24.9
191,A,7.09
76,A,-7.62
285,A,25.9
29,A,3.61
46,A,-9.59
179,A,36.58
253,A,64.53
279,A,-37.08
64,B,-26.12
256,B,-60.69
132,B,109.82
13,B,-1.73
224,A,59.09
14,B,-24.74
147,A,-14.19
183,B,44.91
240,B,-10.15
188,B,18.01
203,A,-7.52
79,B,51.97
236,B,26.46
159,A,19.61
227,A,-13.31
41,A,-9.91
162,B,-19.85
88,A,-34.07
265,B,35.58
106,A,-2.74
129,A,9.11
100,B,-57.15
128,B,23.17
93,B,-14.33
287,B,65.15
152,A,13.45
197,A,77.14
23,A,-6.19
16,A,2.93
226,B,-9.9
164,B,44.45
272,A,-5.97
126,A,43.14
19,B,20.74
63,B,20.83
261,B,-78.53
187,B,44.58
150,B,-18.15
96,A,13
182,B,68.48
169,A,-26.11
145,A,-35.38
284,A,-5.26
11,A,-24.89
141,A,6.81
2,B,1.49
4,B,-13.82
166,A,29.61
199,B,-41.24
52,A,65.23
192,B,11.42
127,A,53.08
75,B,20.64
65,A,18.16
114,A,70.56
58,B,-14.28
135,B,89.93
40,B,-15.28
273,A,39.86
267,A,-7.4
167,B,-16.51
248,A,64.02
119,A,64.94
