Subject,A,B
1,87.07,88.32
2,86.15,87.26
3,87.19,86.21
4,88.62,85.73
5,87.7,85.7
6,86.03,88.62
7,88.13,88.72
8,87.09,85.85
9,88.46,86.88
10,87.83,87
11,86.13,86.99
12,87.41,87.3
13,86.86,87.87
14,86.51,87.65
15,88.23,88.48
16,86.73,88.09
17,86.35,86.54
18,86.63,87.34
19,86.17,88.18
20,87.65,88.52
21,86.09,87.54
22,88.22,86.38
23,88.74,85.85
24,86.51,86.85
25,86.27,87.11
26,85.43,86.99
27,85.81,86.12
28,88.07,86.51
29,86.65,87.74
30,87.98,87.52
31,86.81,89.51
32,87.85,88.15
33,87.19,85.92
34,87.34,87.09
35,86.81,87.47
36,87.79,87.67
37,87.67,87.03
38,87.47,87.25
39,88.1,84.59
40,86.81,86.99
41,87.94,87.73
42,86.91,87.45
43,87.1,87.54
44,86.18,85.6
45,87.44,87.89
46,86.08,88.11
47,85.73,87.36
