Subject,A,B
1,6.95,70.36
2,8.02,70.72
3,6.14,71.96
4,7.65,71.94
5,6.38,71.17
6,6.17,71.88
7,8.32,69.63
8,8.56,70.21
9,6.71,71.58
10,7.69,69.87
11,7.15,72.28
12,5.26,73.73
13,10.23,69.29
14,7.41,71.06
15,6.69,71.99
16,6.99,70.69
17,8.55,69.36
18,8.11,71.21
19,7.51,72.84
20,8.62,70.2
21,7.56,71.35
22,6.46,71.51
23,7.38,72.81
24,5.8,72.98
25,3.86,75.03
26,5.43,72.17
27,5.21,73.08
28,7.15,71.42
29,8.91,69.78
30,5.93,71.1
31,6.32,71.51
32,6.52,72.31
33,8.66,71.79
34,7.65,72.26
35,10.09,71.36
36,7.07,71.84
37,8.82,71.82
38,8.66,69.95
39,8.65,70.6
40,6.67,71.66
41,5.48,72.08
42,6.79,72.85
43,8.8,71.87
44,7.94,70.63
45,6.36,71.42
46,5.93,72.35
47,6.13,71.56
48,4.83,73.03
49,6.99,72.46
50,7.5,71.18
51,7.09,71.24
52,6.21,73.83
53,7.66,71.18
54,6.58,71.87
55,6.18,72.07
56,7.8,69.78
57,8.57,70.45
58,6.88,72.94
59,8.72,71.63
60,7.65,72.98
61,7.63,70.85
62,7.64,71.69
63,8.78,69.1
64,6.76,72.36
65,7.02,71.47
66,6.69,71.26
67,6.81,72.78
68,6.18,72.62
69,6.3,72.98
70,6.75,73.05
71,5.45,72.38
72,6.17,71.73
73,4.77,73.13
74,6.73,72.35
75,5.9,71.56
76,7.81,71.9
77,6.78,70.49
78,6.83,70.97
79,6.24,72.93
80,5.93,72.59
81,5.76,71.28
82,6.88,72.25
83,9.06,69.81
84,5.8,73.33
85,7.6,71.75
86,8.19,72.96
87,6.1,70.14
88,8.13,70.13
89,7.11,72.27
90,7.98,70.64
91,6.49,72.9
92,7.9,70.6
93,6.38,71.95
94,5.54,71.65
95,6.05,72.55
96,5.62,71.58
97,6.87,72.68
98,7.21,71
99,8.48,70.38
100,6.58,71.42
101,5.82,72.79
102,7.03,72.24
103,6.31,73.31
104,6.71,71.77
105,6.69,71.5
106,6.73,70.19
107,9.33,69.94
108,6.16,72.11
109,5.04,72.03
110,6.48,72.13
111,9.01,69.76
112,7.22,72.54
113,5.11,72.16
114,8.22,70.76
115,5.55,74.02
116,8.62,70.73
117,8.24,70.27
118,8.57,71.3
119,6.67,72.4
120,6.37,73.34
121,7.82,71.37
122,6.38,71.18
123,7.1,70.82
124,6.66,71.89
125,6.48,72.77
126,5.89,70.91
127,8.28,71.28
128,7.19,70.99
129,8.6,71.36
130,7.33,72.1
131,7.4,71.55
132,9.32,69.8
133,6.85,73.21
134,6.88,70.57
135,7.35,70.77
136,5.65,72.51
137,6.12,71.14
138,7.91,70.78
139,7.18,71.3
140,8.4,70.21
141,5.2,73.9
142,5.33,72.25
143,6.75,73.9
144,8.1,70.79
145,8.27,72.59
146,6.54,71.16
147,8.04,69.75
148,8.08,71.68
149,6.84,70.98
150,7.42,72.49
151,5.87,71.72
152,8.14,71
153,9.22,71.87
154,5.92,72.08
155,7.5,72.59
156,7.33,70.67
157,8.27,69.59
158,7.74,71.22
159,8.49,72.09
160,7.16,73.27
161,9.32,70.97
162,8.41,71.99
163,5.67,73.39
164,5.81,71.09
165,6.44,72.24
166,7.91,69.85
167,6.8,70.16
168,5.61,72.63
169,5.23,72.85
170,7.82,70.61
171,6.54,70.92
172,7.68,72.19
173,5.85,72.33
174,7.99,69.72
175,6.91,71.81
176,7.5,71.22
177,7.85,71.91
178,5.68,73.32
179,8.93,69.29
180,6.26,72
181,6.25,71.08
182,6.96,70.66
183,6.39,72.35
184,6.35,72.4
185,6.15,73.67
186,7.94,71.26
187,6.26,73.51
188,7.88,69.22
189,6.95,71.19
190,5.72,73.86
191,6.78,72.21
192,7.02,72.63
193,6.63,71.17
194,7.17,69.88
195,7.34,71.45
196,7.56,74.01
197,8.13,70.64
198,7.59,71.5
199,7.49,72.41
200,4.38,72.99
201,6.83,72.12
202,6.23,73.73
203,8.12,70.86
204,7.43,71.62
205,6.84,72.26
206,8.8,70.78
207,6.83,72.54
208,7.75,72.77
209,7.42,69.27
210,8.76,70
211,7.96,71.81
212,5.95,73.51
213,8.75,69.68
214,6.5,71.1
215,6.14,71.14
216,6.47,72.29
217,7.19,72.71
218,8.05,70.47
219,6.08,70.65
220,6.41,72.17
221,6.29,72.09
222,6.24,70.72
223,5.7,72.41
224,6.97,70.92
225,7.25,71.99
226,6.82,72.87
