TV,Radio,Social.Media,Influencer,Sales
61,21.98199898,4.021468949,Mega,405.8648883
57,21.06609239,1.367707729,Macro,472.4856047
16,3.815213208,0.3327901,Micro,328.6944021
30,6.122317863,2.606806497,Micro,328.8925313
47,8.321261321,2.224663337,Micro,338.7039612
21,5.417999563,4.626973896,Micro,357.2869863
77,28.85380575,6.217753837,Macro,534.5148425
69,22.99736022,5.937954803,Macro,467.3134247
61,25.22937094,3.211597629,Mega,392.7462691
91,29.89437658,5.836856118,Macro,496.1210194
83,26.01949395,4.824377926,Macro,572.6190662
33,20.81105562,4.438582726,Nano,282.0605149
38,6.215195866,5.315751143,Mega,386.6744441
11,3.634930909,1.388209091,Nano,239.8096297
54,26.81127265,7.62812867,Mega,456.6460323
44,10.0147525,2.056042436,Micro,305.6913187
74,24.71108346,0.793258638,Micro,335.9503654
34,12.55262291,1.431271991,Micro,314.5813457
51,19.50772328,3.276653643,Nano,297.5866799
17,1.61910271,2.938538282,Nano,225.9227847
57,12.48040325,1.319113037,Mega,428.8954513
79,25.95737332,5.781871261,Macro,501.6519362
18,14.46110551,2.347338423,Micro,334.8307994
37,7.258206804,4.58201222,Micro,339.742248
81,23.874,3.774874678,Mega,426.506531
22,0.215380634,2.2912306,Micro,319.5814129
66,15.63237993,5.234691726,Mega,427.5014283
83,24.74086407,5.191617123,Macro,562.9551615
20,14.14182146,1.024806177,Nano,231.4649035
88,34.49346538,5.891364406,Macro,525.8705996
72,29.40183996,0.883780673,Macro,464.7427199
77,26.82235002,5.514187222,Mega,419.5814108
43,8.871398971,3.545252188,Nano,202.0935897
59,13.04265832,1.123624456,Mega,413.0639454
43,17.1361121,3.371310994,Micro,317.8878229
34,18.30838926,4.750979211,Micro,313.7397256
59,19.34086431,1.602340512,Mega,439.8262727
62,17.0374692,1.778592176,Nano,300.053303
77,18.30862229,2.517847341,Mega,439.8210965
99,36.72156196,7.917322224,Macro,522.2099482
69,26.58051398,5.179786502,Mega,419.6519733
38,7.882629022,0.921557242,Nano,258.867285
80,20.53619813,4.65380506,Macro,477.160052
94,27.63922592,3.796985953,Macro,550.9625809
79,18.67936578,1.179350528,Macro,472.4999443
72,24.18358539,4.736877628,Mega,382.2063698
48,16.06992836,4.783021098,Micro,354.1562346
36,11.45063644,0.383865663,Micro,345.0707879
95,38.04846725,6.955765598,Macro,607.5749145
19,10.87774957,4.665977177,Nano,259.8386118
68,23.84490026,1.673252591,Mega,413.15208
53,19.74143007,1.555014748,Micro,357.7526234
67,27.11403284,2.646603229,Micro,378.4821678
78,28.7304925,5.352241057,Macro,556.2273794
54,22.15078407,5.855266971,Mega,418.9184767
12,6.636054358,0.838317446,Nano,238.0425116
72,19.46438929,1.767531142,Macro,468.6169012
20,1.342204767,1.901254957,Nano,286.3055942
83,22.12318389,4.548473435,Macro,549.8704248
38,6.238737938,2.254929515,Micro,326.9276211
65,23.88150599,2.832255371,Micro,379.1400309
98,33.92428664,7.869647949,Macro,483.0330232
82,27.87458605,2.319345751,Mega,462.0132273
97,28.90739759,3.861604872,Macro,547.6166663
87,32.39081231,2.967629819,Macro,472.3961991
62,21.56658905,1.046840025,Mega,403.0803046
99,36.73607325,7.608349815,Macro,483.5498908
57,17.73126576,1.135948669,Mega,436.6472802
74,25.67430718,3.229394656,Macro,470.4192409
85,32.63667971,6.619127623,Macro,474.7867439
27,2.045585162,0.051933011,Nano,259.3138987
19,11.43205585,3.113767187,Micro,312.1105558
68,29.22260357,4.406522888,Mega,435.734716
89,32.28081447,4.606427961,Macro,490.687204
61,9.879165582,1.436028111,Mega,463.9784918
54,22.93800806,0.049662684,Micro,370.0829324
99,38.26367194,3.918182853,Macro,507.5462646
55,10.56917499,2.990738288,Mega,407.5586027
19,8.953284733,3.287141653,Micro,349.6661354
28,11.42209084,0.986710374,Micro,319.4578844
36,4.215084265,2.654877943,Micro,348.2695552
52,20.30070166,4.283666628,Mega,452.0988671
65,16.42661311,4.59993881,Mega,381.7263573
83,35.64092081,8.930532425,Macro,538.3710087
50,17.54113274,4.515252989,Micro,317.1078272
36,7.083959569,1.081620709,Micro,374.0051229
60,23.24355676,3.593966804,Mega,410.0630221
13,8.233607467,1.324969168,Nano,242.3695945
40,19.63906306,0.795725948,Nano,271.4492219
84,22.32668218,0.165284697,Macro,475.1297617
14,5.197856187,0.413965989,Nano,271.1042988
93,27.05446611,5.748857069,Macro,532.4333456
32,5.471955572,0.672964457,Nano,296.4363967
81,22.41030226,2.189639013,Mega,441.5997282
71,19.97976845,6.960355849,Macro,465.9102717
98,26.1898417,0.681756659,Macro,603.5746181
25,10.33219793,1.864729703,Nano,252.3007535
75,20.14218343,5.76350789,Mega,459.4526904
46,17.79013454,4.117631989,Micro,339.8022758
50,13.83946774,1.042655278,Mega,457.1505713
12,13.93826554,0.411806407,Nano,254.524029
40,10.83821968,3.212553047,Nano,287.652097
94,39.22119838,10.42085288,Macro,476.7378503
47,19.42239584,3.602285923,Nano,239.6295137
34,14.44535454,1.270283967,Nano,290.8415717
57,11.27077509,0.489079881,Mega,437.5603168
66,27.96404564,5.055596363,Mega,415.0235042
36,14.75867975,0.807413059,Mega,412.8081937
39,16.43039265,0.629930468,Nano,287.1716018
55,14.15724514,3.449239584,Micro,325.9145756
75,23.68041523,3.618129755,Micro,378.3665875
39,4.856123013,0.874163256,Mega,423.547068
36,13.80111588,1.731192518,Micro,340.7537013
54,23.84382575,2.481614073,Mega,419.7960308
20,12.91275537,0.141228007,Micro,311.3989404
86,21.64940648,0.404270733,Macro,497.207741
16,2.452537089,0.865971168,Nano,271.5937437
11,4.952002391,7.309016168,Nano,184.710009
52,17.45288044,3.909853584,Micro,317.7093306
83,33.00440576,4.937946143,Macro,513.6437178
51,18.95737635,2.877555299,Micro,373.3093233
37,7.139056221,2.660930829,Micro,354.230576
89,41.55373951,6.947762673,Mega,387.978954
42,23.23917706,3.820399478,Micro,304.5748189
75,27.70803536,2.231371578,Micro,340.1661
42,15.20469724,2.230216304,Nano,274.5511625
38,10.73453527,0.51088457,Micro,308.941654
34,6.795985626,5.336991084,Nano,277.7915987
74,22.36140177,2.046320049,Mega,431.5528846
84,23.67261088,3.107645702,Macro,525.2520823
63,24.11768874,5.295901775,Mega,401.2753078
38,6.110769556,1.937174888,Nano,288.680991
83,33.05370376,9.502273995,Macro,466.2490131
