epoch,mb
c4000BC,131
c4000BC,125
c4000BC,131
c4000BC,119
c4000BC,136
c4000BC,138
c4000BC,139
c4000BC,125
c4000BC,131
c4000BC,134
c4000BC,129
c4000BC,134
c4000BC,126
c4000BC,132
c4000BC,141
c4000BC,131
c4000BC,135
c4000BC,132
c4000BC,139
c4000BC,132
c4000BC,126
c4000BC,135
c4000BC,134
c4000BC,128
c4000BC,130
c4000BC,138
c4000BC,128
c4000BC,127
c4000BC,131
c4000BC,124
c200BC,137
c200BC,141
c200BC,141
c200BC,135
c200BC,133
c200BC,131
c200BC,140
c200BC,139
c200BC,140
c200BC,138
c200BC,132
c200BC,134
c200BC,135
c200BC,133
c200BC,136
c200BC,134
c200BC,131
c200BC,129
c200BC,136
c200BC,131
c200BC,139
c200BC,144
c200BC,141
c200BC,130
c200BC,133
c200BC,138
c200BC,131
c200BC,136
c200BC,132
c200BC,135
