subject,condition,values
35,A,422.79
91,B,347.7
12,B,423.73
140,B,323.33
88,A,279.11
133,B,322.06
145,B,301.25
78,A,322.13
195,A,297.79
99,A,380.35
183,A,324.88
165,B,402.02
23,B,299.12
163,B,305.55
138,A,326.34
153,B,337.8
76,A,342.54
80,B,257.91
167,B,292.11
135,B,279.92
185,B,333.12
193,A,331.15
125,B,333.54
129,A,309.4
117,A,266.25
1,A,438.02
32,A,337.58
38,A,307
128,B,296.76
112,A,302.21
56,B,305.07
9,A,330.58
131,B,318.93
7,B,327.81
171,B,363.39
21,A,249.17
48,A,297.07
179,A,336.31
191,A,359.41
5,A,361.3
84,A,345.41
96,B,353.52
3,B,330.77
28,B,319.91
27,B,304.42
194,B,261.47
74,A,357.22
94,A,342.88
20,B,361.28
192,A,329.58
164,B,314.16
60,B,302.26
151,A,326.09
187,B,273.76
64,B,382.32
178,B,344.77
25,A,243.04
166,B,300.42
53,A,256.4
114,A,337.88
142,A,264.37
16,A,274.5
26,B,351.85
160,A,291.19
122,B,338.22
100,A,383.55
119,A,313.83
126,A,277.23
69,B,322.22
127,A,319.81
173,A,254.43
170,B,362.98
79,A,323.22
118,B,320.59
14,A,290.26
83,A,253.85
182,B,301.82
115,B,289.74
71,B,311.64
15,A,380.32
68,A,302.53
98,A,296.67
152,B,255.56
124,A,298.3
157,B,247.02
19,A,324.41
81,A,297.5
30,B,261.17
134,A,376.06
150,A,303.82
45,B,299.64
29,B,311.39
146,B,313.5
93,B,293.53
42,A,367.11
147,A,326.26
43,A,350.57
87,B,321.54
66,B,330.22
90,B,338.65
123,A,259.38
11,B,305.36
162,A,296.53
95,B,240.44
58,A,364.24
110,A,310.32
180,A,305.76
33,B,265.9
161,A,349.56
175,B,298.96
22,A,346.24
105,A,232.05
132,A,315.4
158,A,335.89
168,B,421.69
149,B,360.07
75,A,298.52
108,B,288.49
141,B,243.23
18,A,294.16
144,B,322.92
102,B,272.69
6,B,321.39
121,B,269.21
57,B,387.46
104,A,274.69
136,B,276.24
72,A,283.71
103,B,292.87
63,A,264.15
61,A,389
37,B,300.39
73,A,335.16
101,A,232.19
154,B,289.96
130,A,302.8
116,A,338.55
176,B,338.78
65,A,313.72
106,B,322.5
49,A,329.45
31,B,312.12
67,B,313.8
34,B,350.65
39,A,304.77
85,B,293.86
13,A,357.3
59,A,280.19
172,A,344.44
52,A,308.36
17,B,265.63
143,A,299.88
2,B,262.38
82,B,416.17
86,A,316.37
55,B,312.49
50,A,302.39
137,A,345.27
24,A,338.66
107,A,257.95
190,B,293.68
174,A,336.62
10,B,356.97
46,A,285.08
92,B,329.98
156,A,258.74
109,B,304.9
41,A,284.45
155,B,305.95
177,B,309.42
139,B,345.09
111,A,353.96
40,B,323.27
148,B,274.74
77,B,359.34
70,B,277.4
184,A,406.81
36,B,289.12
8,A,346.07
113,B,294.56
89,A,348.08
97,A,269.56
51,B,313.13
159,A,267.47
181,A,361.51
44,B,278.47
4,A,248.96
189,B,363.29
169,B,348.29
120,A,336.8
54,B,268.03
186,B,369.81
188,B,381.56
47,A,272.08
62,B,325.08
