subject,treatment,values
87,A,300.13
20,A,250.15
90,A,279.33
102,A,238.06
46,B,289.3
60,A,384.66
149,B,275.36
152,A,276.92
115,B,298.26
16,B,278.32
56,A,312.36
1,B,287.09
48,A,340.7
106,B,291.78
127,B,295.02
51,B,285.26
145,B,303.77
2,B,281.3
100,A,308.02
13,B,282.76
113,A,328.81
7,B,283.33
8,A,274.47
58,B,287.32
126,B,303.59
37,A,229.66
146,B,299.16
10,B,295.88
98,B,305.2
131,A,261.03
62,A,245.4
141,A,290.98
59,B,296.46
43,B,299.4
130,A,318.35
153,B,279.02
25,B,283.97
99,B,296.91
42,A,298.22
28,A,361.91
41,B,311.71
94,B,294.78
44,B,278.28
140,A,336.31
76,B,303.61
21,A,273.57
4,A,373.79
135,B,281.09
82,B,277.18
117,B,291.14
29,B,284.34
26,A,185.75
35,A,307.61
122,A,283.46
124,B,286.19
83,A,323.76
38,A,347.03
110,A,278.5
151,A,286.4
57,B,295.92
12,B,318.25
138,A,379.42
114,A,278.94
40,B,283.4
14,B,291.15
68,A,307.84
148,B,298.95
61,A,302.74
92,B,358.43
33,B,278.07
23,B,301.17
71,B,281.72
72,A,285.8
18,A,249.9
74,A,259.57
11,A,295.5
66,A,222.66
86,A,324.4
150,A,315.93
85,B,283.56
67,B,285.89
111,B,312.73
143,B,292.38
49,A,281.34
32,A,316.98
112,A,226.04
70,B,302.96
15,A,333.3
81,A,337.37
31,B,286.96
24,B,277.26
55,B,293.36
103,B,285.94
119,B,321.2
27,B,309.44
137,A,299.23
88,A,313.54
96,B,283.69
101,B,280.23
121,A,335.21
19,B,306.07
78,A,284.77
108,A,287.08
97,B,279.51
147,B,280.92
73,A,306.06
54,A,305.67
134,A,288.32
109,B,292.19
91,A,332.14
136,A,305.22
5,B,281.88
128,A,328.89
89,A,223.22
133,B,326.08
52,B,291.34
123,A,272.5
47,A,401.41
64,B,276.87
144,B,287.41
69,A,315.35
39,A,266.05
30,B,323.5
9,B,288.65
132,B,292.44
95,A,265.88
105,B,304.23
84,B,273.9
120,A,299.47
104,A,264.62
118,A,271.25
116,A,367.84
142,B,296.45
63,B,300.72
129,B,301.84
45,B,313.1
17,A,314.78
65,B,292.18
75,A,297.53
50,A,347.93
53,A,300.43
125,B,321.64
3,A,268.27
93,A,338.5
77,B,298.05
22,B,312.52
34,A,302.36
79,A,355.63
80,A,321.29
36,A,299.69
107,B,280.45
6,A,226.28
139,B,283.18
