subject,group,values
157,A,538.83
115,A,469.14
90,B,626.26
227,B,621.33
224,B,541.56
46,A,663.45
207,A,496.29
29,B,563.87
171,B,646.01
27,B,638.65
107,A,610.93
96,B,636
16,B,619.26
78,B,587.66
202,B,635.76
1,B,626.35
158,B,580.1
34,B,655.5
222,A,686.66
47,A,598.66
61,B,572.71
66,B,623.74
165,A,451.72
30,B,655.45
42,B,651.8
213,A,585.3
20,B,601.59
142,B,652.2
6,B,637.94
57,B,637.71
133,A,636.48
126,B,628.27
67,A,527.26
50,B,627.09
22,A,552.23
82,A,729.82
210,B,653.64
100,A,457.99
221,B,610.12
194,A,595.28
71,A,580.07
177,B,590.98
188,A,590.61
220,A,437.17
49,A,441.82
95,B,597.24
151,B,640.18
104,B,613.2
25,A,709.84
198,B,608.78
55,B,563.77
192,A,536.89
45,A,340.85
127,A,577.18
186,B,625.62
33,B,537.43
203,B,608.11
209,B,634.31
58,A,499.37
37,B,620.36
155,A,635.81
163,B,620.32
3,A,613.09
119,B,635.56
179,A,596.63
199,B,626.65
52,A,574.27
153,A,577.18
94,B,642.46
168,A,595.75
175,A,381.51
36,B,616.61
85,A,690.93
79,A,633.65
8,B,608.07
88,B,630.69
169,B,590.88
92,A,516.43
117,A,504.83
172,A,686.44
64,A,495.06
48,B,656.96
69,B,654.57
152,A,633.05
183,B,537.65
28,B,579.43
191,A,648.03
56,B,661.71
18,A,588.55
14,A,573.08
102,A,453.41
173,B,636.93
146,B,618.12
208,B,641.73
223,B,647.78
51,A,492.12
89,B,631.21
166,A,579.27
160,B,567.9
197,A,552.81
108,A,582.22
123,A,591.34
11,B,652.81
62,B,619.45
83,A,548.22
137,B,630.94
195,B,618.82
73,A,747.1
124,B,629.89
21,B,624.13
211,B,628.38
156,B,641.17
170,B,639.37
162,B,576.37
125,B,603.66
150,B,633.45
135,B,610.52
139,B,606.03
98,B,658.4
31,A,662.38
185,A,633.39
145,B,638.73
205,B,653.76
114,A,489.77
120,B,658
226,B,645.73
75,B,637.19
159,B,617.2
161,B,603
143,B,629.39
141,B,649.27
180,B,625.94
4,B,619.38
35,A,683.66
84,A,653.06
132,B,622.75
24,A,572.7
164,B,613.5
74,B,598.17
215,A,794.5
12,B,661.27
190,B,560.55
72,A,547.2
189,A,642.25
187,B,643.63
60,B,626.69
93,B,621.31
70,A,613.84
41,B,625.18
17,B,605.75
217,B,630.33
44,B,652.02
182,A,644.86
113,A,573.09
87,B,631.17
19,A,563.13
201,B,621.51
10,B,619.05
15,B,536.84
111,B,605.45
216,B,645.86
116,B,644.52
112,A,548.79
81,A,584.1
200,B,646.69
154,A,505.44
130,A,638.46
109,B,620.23
53,A,594.69
38,B,639.72
212,B,619.86
39,B,585.24
178,B,607.99
59,A,552.02
54,B,605.41
2,A,613.94
129,A,618.72
110,A,712.42
63,A,445.64
99,A,719.34
68,B,642.31
144,A,520.74
97,B,571.05
128,B,628.31
122,A,599.65
13,B,633.72
103,B,613.96
174,B,595.29
134,A,682.07
65,B,638.64
225,B,652.45
149,B,641.33
140,B,594.14
23,A,670.59
106,B,597.28
77,A,551.83
204,A,704.03
101,B,605.5
26,B,556.43
136,A,596.08
206,B,618.28
7,B,646.74
196,B,575.37
43,B,587.97
86,B,647.25
91,A,619.48
167,A,750.38
181,B,657.97
32,A,731.4
193,A,662.84
138,B,553.7
118,B,620.78
121,A,570.25
9,A,529.24
105,B,640.56
218,B,601.07
80,B,563.05
184,B,639.85
5,A,629.4
131,A,482.14
148,A,570.56
76,B,652.51
40,A,466.85
219,B,642.61
176,B,644.41
147,A,673.43
214,B,629.86
