Subject,A,B
1,80.48,81.07
2,79.54,80.08
3,79.2,80.14
4,80.73,78.46
5,79.15,80.55
6,79.93,79.05
7,80.88,79.59
8,80.39,80.19
9,79.15,80.87
10,78.83,80.74
11,77.99,79.04
12,79.64,79.89
13,78.84,78.86
14,79.27,79.01
15,80.84,79.46
16,77.75,79.23
17,78.79,78.99
18,77.66,80.82
19,78.18,80.79
20,79.14,80.5
21,79.96,80.21
22,79.75,80.56
23,79.91,77.47
24,80.34,80.42
25,77.96,80.71
26,79.86,79.91
27,80.36,78.98
28,78.86,79.73
29,80.8,79.83
30,79.69,78.5
31,81.2,80.63
32,78.32,79
33,79.47,79.18
34,79.9,79.85
35,78.9,77.82
36,80.89,80.69
37,79.37,79.6
38,80.6,79.33
39,80.19,78.15
40,79.14,78.14
41,78.53,81.38
42,80.44,80.39
43,79.15,79.28
44,79.08,79.63
45,79.01,80.03
46,78.35,77.53
47,79.66,77.92
48,79.18,80.1
49,78.12,78.5
50,79.01,79.62
51,78.77,80.79
52,80.86,79.54
53,80.29,81.71
54,79.38,79.75
55,80.73,80.81
56,79.15,78.87
57,80.89,78.2
58,80.08,79.96
59,77.14,78.54
60,80,79.23
61,80.09,78.01
62,79.2,78.44
63,80.89,79.93
64,78.45,80.3
65,80.33,78.29
66,79.14,79.22
67,77,80.48
68,78.11,79.03
69,78.84,79.61
70,79.54,77.97
71,78.84,80.49
72,81.91,79.32
73,79.25,77.72
74,78.87,79.55
75,80.03,79.95
76,79.49,79.9
77,79.93,78.92
78,79.55,79.04
79,77.54,79.14
80,78.88,80.36
81,79.77,80.03
82,82.11,79.3
83,79.25,80.25
84,80.46,80.93
85,78.73,79.69
86,79.26,77.85
87,78.26,80.54
88,78.67,79.29
89,79.82,78.4
90,79.74,81.16
91,79.78,81.53
92,78.67,79.92
93,79.67,77.38
94,79.49,78.07
95,78.37,78.55
96,79.56,80.04
97,80.94,77.91
98,78.21,79.93
99,81.72,80.02
100,78.55,80.45
101,79.9,80.66
102,80.04,80.24
103,78.76,80.01
104,80.07,80.23
105,79.82,80.87
106,79.38,82.35
107,79.18,80.05
108,80.38,80.46
109,79.74,78.57
110,79.58,79.77
111,80.92,79.91
112,77.99,77.64
113,80.85,80.02
114,79.02,80
115,78.94,79.39
116,78.97,78.98
117,81.29,80.08
118,80.57,79.58
119,80.5,79.88
120,79.97,80.26
121,79.4,80.77
122,80.99,79.96
123,79.12,79.41
124,79.67,79.82
125,79.8,79.93
126,79.18,80.05
127,78.2,80.92
128,79.46,78.01
129,78.61,81.03
130,78.85,79.16
131,79.52,79.6
132,80.96,81.89
133,79.54,79.31
134,79.47,78.6
135,79.47,78.79
136,80.83,79.57
137,80.72,79.97
138,79.1,79.9
139,80.04,78.78
140,80.03,79.04
141,77.73,79.3
142,81.48,80.95
143,78.04,79.45
144,80.15,79.97
145,79.79,79.83
146,79.46,80.95
147,80.8,79.19
148,80.77,79.27
149,78.91,80.94
150,78.87,79.79
151,78.52,79.86
152,78.81,78.2
153,80.29,79.89
154,77.3,79.58
155,80.37,78.52
156,78.85,79.15
157,80.35,79.13
158,79.97,77.61
159,79.18,77.15
160,78.72,80.02
161,79.4,80.45
162,79.66,78.83
163,79.92,78.88
164,82.24,79.92
165,80.36,78.97
166,80.25,79.14
167,78.71,77.66
168,80.18,80.17
169,80.18,80.67
170,82.46,78.14
171,79.54,81.57
172,79.84,77.42
173,79.69,79.16
174,80.79,81.02
175,79.52,78.97
176,80.13,80.57
177,80.55,79.72
178,79.15,78.2
179,78.61,80.24
180,80.16,80.42
181,81.01,79.51
182,78.45,79.64
183,80.13,80.63
184,79.93,79.18
185,78.79,79.87
186,78.07,81.85
187,78.78,80.12
188,80.68,80.14
189,80.97,78.79
190,80.82,79.82
191,80.9,79.89
192,82.03,80.16
193,77.98,79.2
194,80.4,79.27
195,79.72,79.84
196,79.01,79.58
197,79.01,81.09
198,79.39,78.76
199,80.73,79.86
200,79.81,80.71
201,79.27,79.15
202,79.58,79.4
203,79.6,79.6
204,80.71,80.57
205,80.01,80.22
206,79.64,79.39
207,78.92,80.07
208,79.82,79.65
209,78.35,79.92
210,78.74,79.52
211,81.24,78.57
212,78.23,78.65
213,80.66,79.75
214,79.63,79.68
215,78.84,81.18
216,81.55,78.52
217,79.26,78.6
218,79.03,79.58
219,79.27,80.15
220,80.28,79.34
221,79.6,79.53
222,80.83,80.24
223,80.54,80.71
224,78.23,79.85
225,78.71,78.75
226,79.26,78.69
227,79.72,80.84
228,79.69,79.81
229,79.31,79.55
230,79.03,79.48
231,81.21,80.49
232,81.37,80.83
233,78.82,80
234,78.82,79.47
235,79.56,79.4
236,81.25,80.54
237,79.95,80.24
238,79.35,80.6
239,79.1,79.89
240,80.72,77.28
241,80.51,80.55
242,79,78.93
243,78.82,79.14
244,79.37,79.16
245,81.2,80.37
246,78.42,79.35
247,79.02,80.41
248,79.2,77.62
249,80.47,78.42
250,79.56,78.02
251,78.95,79.1
252,79.91,79.85
253,79.33,80.02
254,78.98,79.72
255,79.56,80.35
