Subject,A,B
1,87.23,98.86
2,87.01,97.65
3,87.22,99.58
4,87.2,99.35
5,85.67,98.1
6,87.17,96.94
7,85.07,99.43
8,84.38,98.23
9,87.12,98.79
10,86.09,98.47
11,87.17,98.81
12,87.09,98.27
13,86.62,99.26
14,85.45,99.46
15,85.19,98.93
16,86.61,97.96
17,87.2,99.46
18,83.41,98.85
19,87.11,99.55
20,87.2,99.17
21,87.23,99.44
22,85.89,96.35
23,86.53,97.61
24,84.53,97.41
25,85.43,99.34
26,86.03,97.99
27,82.91,98.79
28,86.66,98.38
29,84.52,96.88
30,85.03,97.79
31,86.08,99.28
32,85.36,98.05
33,81.31,96.44
34,86.7,99.01
35,85.87,99.25
36,87.16,98.6
37,86.21,98.78
38,82.54,99.44
39,86.13,98.62
40,86.87,97.61
41,86.32,93.56
42,84.4,99.47
43,87.17,95.06
44,86.34,98.01
45,85.62,99.58
46,86.69,97.76
47,83.67,99.32
48,87.23,99.21
49,87.2,95.39
50,87.23,99.43
51,86.84,99.38
52,86.37,98.81
53,87.12,97.22
54,86.58,98.85
55,85.18,99.37
56,84.97,99.52
57,87.2,98.59
58,86.8,99.4
59,87.07,94.31
60,87.17,99.34
61,86.75,95.42
62,85.63,97.57
63,86.38,99.05
64,84.45,95.14
65,85.75,97.15
66,87.08,99.58
67,87.08,99.3
68,86.01,99.24
69,86.95,99.48
70,86.9,99.26
71,87.15,97.51
72,87.23,99.45
73,86.14,99.01
74,85.44,98.82
75,85.6,99.53
76,83.04,99.56
77,87.02,96.63
78,85.57,99.23
79,86.17,99.19
80,87.16,98.47
81,83.21,97.53
82,85.88,99.37
83,86.9,97.36
84,87,98.99
85,87.21,99.4
86,86.32,97.71
87,83.52,99.53
88,86.36,99.26
89,85.24,99.41
90,87,97.14
91,80.37,93.96
92,87.21,99.54
93,87.21,99.57
94,85.58,96.44
95,86.33,98.91
96,87.14,98.49
97,86.54,99.3
98,86.36,98.55
99,85.85,98.06
100,85.83,97.55
101,87.23,99.48
102,86.94,99.58
103,86.9,98.28
104,87.23,99.19
105,87.2,98.64
106,85.48,99.51
107,85.15,99.43
108,86.47,98.88
109,87.21,96.85
110,85.18,96.05
111,82.04,98.47
112,86.63,96.79
113,86.22,98.69
114,82.75,99.58
115,86.99,98.51
116,84.43,97.79
117,85.22,99.54
118,87.13,98.53
119,86.13,98.82
120,84.55,99.28
121,86.83,99.11
122,87,97.57
123,87,99.37
124,87,98.7
125,86.85,99.13
126,86.24,99.03
127,86.85,99.28
128,86.77,99.13
129,83.61,99.2
130,87.22,98.26
131,87.04,99.53
132,87.19,99.47
133,86.01,98.28
134,86.97,96.82
135,87.02,99.42
136,87.16,96.13
137,87.17,98.71
138,85.37,98.8
139,86.73,95.49
140,86.39,99.55
141,86.17,99.48
142,86.07,99.34
143,87.21,99.57
144,86.58,93.63
145,85.57,99.28
146,86.31,99.54
147,87.14,96.3
148,86.16,98.68
149,86.65,98.72
150,85.62,94.73
151,86.36,99.4
152,83.8,97.54
153,84.57,96.09
154,86.88,99.42
155,87.08,99.52
156,87.22,99.58
157,86.49,99.52
158,85.83,99.55
159,86.74,98.47
160,87.09,98.83
161,83.08,96.94
162,86.52,98.69
163,86.88,99.17
164,87.12,97.75
165,85.14,98.93
166,84.55,98.14
167,86.13,97.29
168,84.43,98.36
169,86.66,99.46
170,87.22,97.9
171,86.49,98.8
172,87.22,98.96
173,87.23,95.77
174,86.78,99.13
175,85.96,99.38
176,83.67,98.28
177,85.52,99.11
178,85.46,94.42
179,87.1,95.67
180,86.73,98.81
181,87.21,98.92
182,85.22,99.41
183,86.54,93.82
184,86.8,96.98
185,86.73,99.16
186,84.06,98.42
187,86.73,98.9
188,86.54,99.33
189,87.2,98.32
190,82.48,99.11
191,84.58,96.9
