"squatch_id","feet_cm"
1,25.6
2,26.6
3,30.6
4,34.2
5,22.7
6,25.5
7,29.7
8,16
9,28.9
10,25.5
11,31.8
12,19.6
13,29.1
14,29.4
15,33.5
16,27.1
17,28.3
18,29.3
19,22.7
20,29.6
21,28.9
22,44.1
23,30.1
24,29.2
25,15.8
26,26.1
27,22.3
28,29.5
29,41.9
30,30.5
31,26
32,23.9
33,19.8
34,24.3
35,26.3
36,28.1
37,29.1
38,31.7
39,27.1
40,31.1
41,35.5
42,37.9
43,27.5
44,35.6
45,23.6
46,28.4
47,13.4
48,27.9
49,28.5
50,24.6
51,21.8
52,29.5
53,18.9
54,25.3
55,23.5
56,25.2
57,26.7
58,39.3
59,30.4
60,29.1
61,31.8
62,26.4
63,37
64,13.5
65,31.4
66,46.8
67,31.8
68,33.4
69,30.5
70,26.3
71,26.3
72,24.9
73,21.8
74,23.3
75,23.6
76,27.1
77,38.7
78,31.5
79,28.3
80,32.8
81,29.5
82,29.6
83,24.4
84,21.9
85,26.1
86,32.1
87,25.4
88,26.3
89,22.4
90,15.7
91,25.9
92,29.6
93,30.5
94,34.9
95,29.2
96,34.9
97,28.1
98,20.4
99,26.1
100,19.5
101,20.6
102,27.8
103,30.2
104,31.6
105,36.5
106,30.6
107,40.4
108,27.5
109,28.2
110,37.7
111,30.6
112,36.2
